year,n_iat,iat_mean,iat_sd,explicit_pref_mean,explicit_thermo_mean,political_mean,age_mean,iat_se
2006.0,173,0.39429243914977613,0.4054782956977902,5.150442477876106,2.1728395061728394,,25.80392156862745,0.03082794395994645
2007.0,136,0.35489516436985064,0.4539453632131208,4.937984496124031,1.6984126984126984,,22.18032786885246,0.03892549376152624
2008.0,208,0.4598099051049961,0.36695175456097195,5.278048780487805,2.2358490566037736,4.445121951219512,24.160194174757283,0.025443526282520407
2009.0,342,0.41966798419323437,0.3586291349531127,5.066666666666666,1.9457831325301205,4.219435736677116,24.58858858858859,0.019392442643663323
2010.0,311,0.4355251192629161,0.3976643529933374,5.25,1.8113207547169812,4.391752577319588,24.52,0.022549476693909394
2011.0,1132,0.47311102513920184,0.36467475740398564,5.278169014084507,2.046204620462046,4.436379928315413,21.729982964224874,0.010838832110804083
2012.0,891,0.4764809945246935,0.33081278531401126,5.1968421052631575,1.848697394789579,4.503719447396387,22.777435897435897,0.01108264530039362
2013.0,540,0.4842940681056549,0.3522690134186901,5.197026022304833,1.732620320855615,4.514231499051234,24.123861566484518,0.015159244692838933
2014.0,782,0.40636657265752646,0.36762331790389535,4.675311203319502,0.775950668036999,4.6496674057649665,24.286947141316073,0.013146183009023463
2015.0,344,0.37917565041985934,0.3722899606068829,4.562841530054645,0.7081081081081081,4.540389972144847,25.86898395721925,0.020072529444019514
2016.0,400,0.3756922658483343,0.3598521351803997,4.553459119496855,0.6262833675564682,4.434125269978401,28.277083333333334,0.017992606759019987
2017.0,118,0.4102655662196189,0.3741634724482291,4.5646258503401365,0.7210884353741497,4.801526717557252,26.18045112781955,0.034444539568053836
