,iat_korea_good,explicit_korea_preference,explicit_thermo_diff,political_liberal,rwa_mean,sdo_mean,age,year
iat_korea_good,1.0,0.22667568308246464,0.21483653547204729,0.0060881381761869035,0.07596435349003797,0.024580004730942732,-0.06153120479002552,-0.027426758670097
explicit_korea_preference,0.22667568308246464,1.0,0.4942249337227689,-0.04530765807262809,0.08319548867948828,-0.008945173967161591,0.024231856639401632,-0.13545516887242592
explicit_thermo_diff,0.21483653547204729,0.4942249337227689,1.0,-0.011284109714449198,0.08990586752762807,0.010507189151416095,-0.03208841435803997,-0.19412236318482887
political_liberal,0.0060881381761869035,-0.04530765807262809,-0.011284109714449198,1.0,-0.2501615052223219,-0.25120002419334464,-0.0037896685438009413,0.06265034668982791
rwa_mean,0.07596435349003797,0.08319548867948828,0.08990586752762807,-0.2501615052223219,1.0,0.25115941576091055,-0.11420131650670906,-0.10608938008764626
sdo_mean,0.024580004730942732,-0.008945173967161591,0.010507189151416095,-0.25120002419334464,0.25115941576091055,1.0,-0.12132057124944648,-0.10121659124856987
age,-0.06153120479002552,0.024231856639401632,-0.03208841435803997,-0.0037896685438009413,-0.11420131650670906,-0.12132057124944648,1.0,0.13916386843687747
year,-0.027426758670097,-0.13545516887242592,-0.19412236318482887,0.06265034668982791,-0.10608938008764626,-0.10121659124856987,0.13916386843687747,1.0
