domain,label,n,quality_n,iat_mean,iat_sd,iat_median,explicit_thermo_mean,explicit_thermo_n,age_mean,political_mean,first_year,last_year
age,Age IAT: Young-Good over Old-Good,6823,6680,0.4992542552886304,0.38380704099799917,0.5287433253615084,-0.6391869918699187,6150,25.489300758213986,4.3604933279417715,2006.0,2017.0
korea_usa,Korea-USA IAT: Korea-Good over USA-Good,5377,5295,0.43883614047719943,0.3663825114629067,0.4634691242377894,1.5900687876182287,4652,24.129793510324482,4.4687421541551595,2006.0,2017.0
weight,Weight IAT: Thin-Good over Fat-Good,6854,6828,0.29676161826270436,0.4142922099348052,0.316366580283461,-0.5969056729329563,6011,24.24190981432361,4.400149031296572,2009.0,2019.0
