,term,estimate,std_error,t,p,ci_low,ci_high,n,r_squared,adj_r_squared,model
0,Intercept,0.4992542552886358,0.0047256734715305825,105.64721796720627,0.0,0.48999193528443585,0.5085165752928358,19054,0.04810775493130082,0.04800782398331194,Raw IAT mean difference by domain; reference=Age
1,is_weight,-0.2024926370259412,0.00667555046577919,-30.333474080373932,4.15053318363459e-202,-0.2155767159388684,-0.189408558113014,19054,0.04810775493130082,0.04800782398331194,Raw IAT mean difference by domain; reference=Age
2,is_korea_usa,-0.06041811481143214,0.007118256069771921,-8.487769225948629,2.1064133458663618e-17,-0.0743698967081851,-0.04646633291467917,19054,0.04810775493130082,0.04800782398331194,Raw IAT mean difference by domain; reference=Age
3,Intercept,0.015546656626299393,0.009893273678678155,1.571437031991274,0.11608116985531905,-0.003844159783909791,0.03493747303650858,14154,0.007148672678538803,0.006306142735263309,Standardized IAT predictors and domain interactions; reference=Age
4,age_centered,0.011986167553874017,0.0019667076122024574,6.094534581300096,1.0975630534305112e-09,0.0081314206339572,0.015840914473790834,14154,0.007148672678538803,0.006306142735263309,Standardized IAT predictors and domain interactions; reference=Age
5,sex_male,0.05917770414753258,0.02909211786005377,2.0341490582502133,0.04193656893859619,0.0021571531418271978,0.11619825515323796,14154,0.007148672678538803,0.006306142735263309,Standardized IAT predictors and domain interactions; reference=Age
6,political_centered,-0.02005143866022549,0.011994536633227094,-1.6717143207249274,0.09458066886107114,-0.043560730461350596,0.003457853140899615,14154,0.007148672678538803,0.006306142735263309,Standardized IAT predictors and domain interactions; reference=Age
7,year_centered,-0.008235457118869801,0.006197251311416454,-1.3288886806475968,0.1838846988260324,-0.020382069689246052,0.00391115545150645,14154,0.007148672678538803,0.006306142735263309,Standardized IAT predictors and domain interactions; reference=Age
8,age_x_weight,-0.01456450641364043,0.0028554326172043954,-5.100630400411892,3.3852405269330824e-07,-0.020161154343361045,-0.008967858483919816,14154,0.007148672678538803,0.006306142735263309,Standardized IAT predictors and domain interactions; reference=Age
9,age_x_korea_usa,-0.019481327941578166,0.0030945535919822175,-6.29535969002217,3.0668786349267386e-10,-0.025546652981863312,-0.01341600290129302,14154,0.007148672678538803,0.006306142735263309,Standardized IAT predictors and domain interactions; reference=Age
10,male_x_weight,-0.06104356081530435,0.039908187024307006,-1.529599948454796,0.12611578222681172,-0.13926360738294608,0.017176485752337378,14154,0.007148672678538803,0.006306142735263309,Standardized IAT predictors and domain interactions; reference=Age
11,male_x_korea_usa,-0.10337447802311017,0.039223399269843355,-2.635530829746032,0.008400579414741415,-0.18025234059200315,-0.026496615454217193,14154,0.007148672678538803,0.006306142735263309,Standardized IAT predictors and domain interactions; reference=Age
12,politics_x_weight,-0.012786484453672033,0.016872046227729344,-0.7578502501171045,0.4485406360191514,-0.045855695060021545,0.020282726152677483,14154,0.007148672678538803,0.006306142735263309,Standardized IAT predictors and domain interactions; reference=Age
13,politics_x_korea_usa,0.025419625212561286,0.01777211093785496,1.43030984340847,0.15262811089475825,-0.009413712225634436,0.06025296265075701,14154,0.007148672678538803,0.006306142735263309,Standardized IAT predictors and domain interactions; reference=Age
14,year_x_weight,0.005088184272762596,0.008083414934437646,0.6294597412147538,0.5290481173050943,-0.01075530899873519,0.020931677544260383,14154,0.007148672678538803,0.006306142735263309,Standardized IAT predictors and domain interactions; reference=Age
15,year_x_korea_usa,-0.019755570830708606,0.009595652231042877,-2.058804378799535,0.039512982037053855,-0.03856304920355265,-0.0009480924578645668,14154,0.007148672678538803,0.006306142735263309,Standardized IAT predictors and domain interactions; reference=Age
16,Intercept,0.49565971849292445,0.006734085516430767,73.60460708191845,0.0,0.48246091088072013,0.5088585261051287,4818,0.018015319657342266,0.016994969823237227,Within-domain raw IAT predictors: age
17,age_centered,0.004333901863343548,0.0007524497558652441,5.75972259883317,8.42522835054184e-09,0.00285910034184767,0.005808703384839426,4818,0.018015319657342266,0.016994969823237227,Within-domain raw IAT predictors: age
18,sex_male,0.040245723395007024,0.012296204686691651,3.2730199618883633,0.001064049625319522,0.016145162209091388,0.06434628458092266,4818,0.018015319657342266,0.016994969823237227,Within-domain raw IAT predictors: age
19,political_centered,-0.007845247084183323,0.004563258024661235,-1.7192205748141396,0.08557421578014555,-0.016789232812519345,0.0010987386441526966,4818,0.018015319657342266,0.016994969823237227,Within-domain raw IAT predictors: age
20,year_centered,-0.0041973037315196915,0.0023610280399750244,-1.7777441269033347,0.07544588875795236,-0.00882491868987074,0.0004303112268313567,4818,0.018015319657342266,0.016994969823237227,Within-domain raw IAT predictors: age
21,explicit_thermo_diff,0.00846623908465392,0.0020571289387253866,4.115560733835026,3.862392742383007e-05,0.004434266364752162,0.012498211804555678,4818,0.018015319657342266,0.016994969823237227,Within-domain raw IAT predictors: age
22,Intercept,0.31983285054901045,0.006972774144517546,45.86880973342355,0.0,0.30616621322575605,0.33349948787226485,5215,0.00782914529498202,0.006876783176816392,Within-domain raw IAT predictors: weight
23,age_centered,-0.0007959375908399274,0.0008990315919768622,-0.8853277214538774,0.37597990277628857,-0.002558039511114577,0.0009661643294347224,5215,0.00782914529498202,0.006876783176816392,Within-domain raw IAT predictors: weight
24,sex_male,-0.017505913049784765,0.01422509090402868,-1.230636286818169,0.21845892722547253,-0.04538709122168098,0.010375265122111448,5215,0.00782914529498202,0.006876783176816392,Within-domain raw IAT predictors: weight
25,political_centered,-0.014392212307378709,0.0050588612610986735,-2.8449509809749234,0.004441825808272638,-0.02430758037913211,-0.00447684423562531,5215,0.00782914529498202,0.006876783176816392,Within-domain raw IAT predictors: weight
26,year_centered,-0.002761918726496641,0.0022673947896511347,-1.218102263929783,0.2231851136799316,-0.0072060125142128645,0.0016821750612195825,5215,0.00782914529498202,0.006876783176816392,Within-domain raw IAT predictors: weight
