,domain,domain_label,iat_score,year,age,sex,sex_male,political_raw,explicit_pref,explicit_thermo_diff,pct_300,pct_error,n_trials,valid_iat,quality_flag,iat_z_within_domain,year_centered,age_centered,political_centered,domain_age,year_x_age,age_x_age,male_x_age,politics_x_age,domain_weight,year_x_weight,age_x_weight,male_x_weight,politics_x_weight,domain_korea_usa,year_x_korea_usa,age_x_korea_usa,male_x_korea_usa,politics_x_korea_usa
18,age,Age IAT: Young-Good over Old-Good,0.6222255510959364,2006.0,31.0,f,0.0,,,5.0,0.0,0.0,120.0,True,True,0.32039874903688104,-6.386165634512508,6.326186159904982,,1.0,-6.386165634512508,6.326186159904982,0.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
19,age,Age IAT: Young-Good over Old-Good,0.6470370800006864,2006.0,31.0,m,1.0,,,2.0,0.0,1.6666666666666667,120.0,True,True,0.3850445899267029,-6.386165634512508,6.326186159904982,,1.0,-6.386165634512508,6.326186159904982,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
20,age,Age IAT: Young-Good over Old-Good,1.1581731949298932,2006.0,27.0,f,0.0,,,5.0,0.0,16.666666666666668,120.0,True,True,1.7167974248932478,-6.386165634512508,2.3261861599049816,,1.0,-6.386165634512508,2.3261861599049816,0.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
21,age,Age IAT: Young-Good over Old-Good,0.7456920037046519,2006.0,30.0,f,0.0,,,0.0,0.0,8.333333333333334,120.0,True,True,0.6420876171922703,-6.386165634512508,5.326186159904982,,1.0,-6.386165634512508,5.326186159904982,0.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
22,age,Age IAT: Young-Good over Old-Good,1.1843048389279391,2006.0,21.0,m,1.0,,,-1.0,0.0,10.833333333333334,120.0,True,True,1.7848827938591134,-6.386165634512508,-3.6738138400950184,,1.0,-6.386165634512508,-3.6738138400950184,1.0,,0.0,-0.0,-0.0,0.0,,0.0,-0.0,-0.0,0.0,
23,age,Age IAT: Young-Good over Old-Good,1.0989807039151225,2006.0,26.0,f,0.0,,,2.0,0.0,3.3333333333333335,120.0,True,True,1.5625728154101735,-6.386165634512508,1.3261861599049816,,1.0,-6.386165634512508,1.3261861599049816,0.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
24,age,Age IAT: Young-Good over Old-Good,0.5402223573974682,2006.0,31.0,f,0.0,,,2.0,0.0,0.8333333333333334,120.0,True,True,0.10674140318611638,-6.386165634512508,6.326186159904982,,1.0,-6.386165634512508,6.326186159904982,0.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
25,age,Age IAT: Young-Good over Old-Good,0.7938441433243131,2006.0,54.0,n,,,,5.0,0.0,2.5,120.0,True,True,0.7675468570604417,-6.386165634512508,29.32618615990498,,1.0,-6.386165634512508,29.32618615990498,,,0.0,-0.0,0.0,,,0.0,-0.0,0.0,,
26,age,Age IAT: Young-Good over Old-Good,-0.12943779813816259,2006.0,46.0,m,1.0,,,2.0,0.0,10.0,120.0,True,True,-1.638042000980565,-6.386165634512508,21.32618615990498,,1.0,-6.386165634512508,21.32618615990498,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
27,age,Age IAT: Young-Good over Old-Good,1.0186159247570776,2006.0,33.0,m,1.0,,,-1.0,0.0,3.3333333333333335,120.0,True,True,1.3531843191776,-6.386165634512508,8.326186159904982,,1.0,-6.386165634512508,8.326186159904982,1.0,,0.0,-0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,
