predictor,outcome,n,pearson_r,pearson_p,spearman_rho,spearman_p,abs_r
acute_middle_male_suicide_pressure_score,excess_2024_vs_expected,17,-0.31718747314548906,0.21478107809887637,-0.232843137254902,0.36845965485421184,0.31718747314548906
acute_middle_male_suicide_pressure_score,godoksa_change_2020_2024,17,-0.2810346314692188,0.27453179042731546,-0.18761499541099452,0.4708622320850915,0.2810346314692188
acute_middle_male_suicide_pressure_score,business_closure_male_40_64_approx_rate_per_1000_2024,17,-0.23522932975577746,0.36343110638964937,-0.24754901960784317,0.33808764785868606,0.23522932975577746
acute_middle_male_suicide_pressure_score,godoksa_count_2024,17,-0.19506347072001046,0.4530989138972532,-0.004901960784313726,0.9851029592703198,0.19506347072001046
acute_middle_male_suicide_pressure_score,godoksa_per_100k_male_40_64_pop_proxy_2024,17,-0.1252919199371497,0.6318399348707691,-0.13235294117647062,0.6125925983674017,0.1252919199371497
acute_middle_male_suicide_pressure_score,basic_livelihood_male_40_64_rate_per_1000_2024,17,-0.029937767341666144,0.9091909240896767,-0.09803921568627452,0.7081513097186005,0.029937767341666144
