survey_year,age_band,n,weight_sum,depression_high_share,self_esteem_low_share,problem_drinking_share,high_risk_drinking_share,low_income_share,psych_any_share,compound_psych_alcohol_share,compound_psych_low_income_share,triple_psych_alcohol_low_income_share,CES_D_mean,SELF_ESTEEM_mean,AUDIT_mean,income_mean
2019,40 - 44세,405,397.12519554813383,0.12099115230427501,0.12120890239959224,0.5397111431203796,0.11370955646016692,0.15204918041454835,0.17506574724173224,0.09575168834030198,0.04266235154594086,0.016996158764943797,12.686525417779823,32.64445108140873,8.435300400432814,6695.016528501687
2019,45 - 49세,496,441.7613359104787,0.17217168586831222,0.1609682487123497,0.5373293389591021,0.08284406006546374,0.1732970396773261,0.23508182437416258,0.10219987125886132,0.07249817665676557,0.02076311818378027,13.385883573847545,31.992806493205922,8.231924704145912,7068.404410347228
2019,50 - 54세,436,425.8002531997199,0.17268515316483654,0.10556135585429495,0.5512161955604677,0.10784766081042438,0.1675078829490067,0.20170794522121058,0.08470054126858781,0.08049286744381083,0.032881639032808475,13.301489625669495,32.08574976087554,8.42495127436602,7641.874832530066
2019,55 - 59세,409,416.5599336359487,0.22143103877041528,0.2166845424465885,0.5405803443645286,0.15496529336012982,0.2065398426758469,0.3053595818115392,0.13161483073738953,0.10206911430995579,0.03206448583821611,13.707835779629331,31.243958136209585,8.74520725939786,7598.614023842478
2019,60 - 64세,411,381.23184924999623,0.18952090738290386,0.21871189050680143,0.499580062848561,0.10570269072940945,0.31560019280940455,0.29936433762634496,0.1150878491898692,0.161960941376669,0.0642825912781097,13.458973843067362,30.90315338248633,8.168863554222344,6130.79048761176
2020,40 - 44세,369,386.8816679492051,0.1441151145507263,0.16417880879226124,0.5737964087591053,0.16757945276445058,0.16893575872255917,0.20633520686356302,0.08015458405770406,0.07079514120870826,0.026134624300551915,13.306928805128093,31.955738377584044,8.819118929643935,7083.974323455206
2020,45 - 49세,470,401.1566858827633,0.16532486425292575,0.1633971613956343,0.46788500034069275,0.10467471270351687,0.17029364307966827,0.22618751257594488,0.08898103986327914,0.058452046885524744,0.019916690180403332,13.360029966354631,32.02455228517319,7.643114690864608,7329.814675349813
2020,50 - 54세,465,438.7801987753212,0.1562443075712193,0.20193945026781093,0.5747502218879414,0.15474296622667771,0.15816889115443583,0.25528241821378816,0.1215978289137227,0.09534452341422157,0.037829546651561616,13.26254424258764,31.694724234357793,8.871532167691957,7578.540144676219
2020,55 - 59세,378,387.32453031905936,0.19426432294699855,0.20014818256502886,0.5014409334353258,0.10560167671067526,0.18058687450852667,0.27143309519855946,0.11304378979803364,0.07930349034324882,0.03887607306313851,13.406904093904181,31.3511609583334,8.132141878475736,7382.359841470656
2020,60 - 64세,420,393.255123096278,0.1964282357763904,0.2811756185124731,0.49108430652352697,0.14580428281209454,0.2994549869041217,0.3224676373305097,0.12588913193596635,0.1657950017097472,0.05793628367110103,13.811001996000313,30.69496719775044,8.293023577603128,6201.2888708102655
2021,40 - 44세,455,510.3149395494931,0.148199124662675,0.12713999671869566,0.4928595326467,0.12228259262591996,0.14297140051860957,0.18852540740588997,0.07984989142884695,0.053818603119775335,0.013735422673630728,13.042939870429715,32.66444199352857,8.136377114247775,7208.105297290583
2021,45 - 49세,516,492.6026750263339,0.13703896491566492,0.1390815042971899,0.5489488353105212,0.1360672606135875,0.1524432002126188,0.2068729708071057,0.08092734411937015,0.05122959738470046,0.016818416318089936,12.961995004979885,32.0931994381619,8.520022283092098,7344.120734891693
2021,50 - 54세,545,533.0075509599767,0.15307417808391824,0.16362087637930747,0.5067667771091074,0.11780121261762687,0.16230567183781294,0.22184061703499508,0.07727786902947842,0.05667053992785393,0.020650375922516014,13.189953118723794,32.13960273484354,8.21418654702504,7767.760933299706
2021,55 - 59세,481,516.1672856802304,0.19823875177618955,0.22158827465694697,0.4574808155796628,0.11530374074085332,0.18799894026251326,0.27326720276195016,0.09426412292744317,0.08138843423654407,0.025944692521029985,13.583889301470066,31.376280750482646,7.742759191739522,7757.005361981284
2021,60 - 64세,566,492.65320579321536,0.22639223213490497,0.28073294393017206,0.47447264828940466,0.10541232538582193,0.25775373032265,0.3259121588249245,0.10215072283012809,0.12778011660717192,0.03303774758379329,14.245306706848618,30.62276405053644,8.076028086746845,6637.353078955986
2022,40 - 44세,438,512.1118146437891,0.13589147619252834,0.09399769764017446,0.4489179698733757,0.06738080370824448,0.11026270782933069,0.16263311532869223,0.09462304130015194,0.04147414470071429,0.015822030261161774,12.914456543779863,32.46632252160628,7.628965644182556,7364.967098464811
2022,45 - 49세,477,503.2478675163103,0.15332576757598865,0.18898894176888198,0.4983235931704577,0.10992036382269038,0.17505355817479068,0.24137698597015111,0.09771165187595755,0.06156646218947914,0.02137619905141342,13.055351909009023,31.745061551148886,8.09535973472843,7318.695485029362
2022,50 - 54세,523,594.8018410704058,0.18072626397205732,0.20405807904896112,0.5162016682765045,0.1354652600227781,0.20559452358795952,0.26764140225834177,0.1252651175960808,0.09973992799480613,0.024226582981024654,13.776897500865752,31.374743723728002,8.558493045147584,7724.618557426175
2022,55 - 59세,448,455.02255496653015,0.17785793104199585,0.19307488162386943,0.5241147767485553,0.1031983180148789,0.241178108711684,0.25598069920173866,0.1028925969717557,0.09113774086175708,0.03509396054880094,13.389870600818895,31.628052501167975,8.394079064317484,7436.862384138857
2022,60 - 64세,552,386.3971143010482,0.2253831428444676,0.20529694572332247,0.4714904362336516,0.07331713067981449,0.28192284003762336,0.3023597262592743,0.10203622573176728,0.15554790025996149,0.04853911576778869,13.941792082912539,31.311527022036213,7.720132548437574,6561.613194657644
2023,40 - 44세,391,467.964449839924,0.17164102197941078,0.1439582768539397,0.534291997574756,0.11852386722004975,0.12711855577795023,0.21142235580074928,0.09069437581513355,0.05066341245920665,0.017059579485166836,13.210732833810868,32.29801355883257,8.363187214507105,7756.141009493488
2023,45 - 49세,443,467.293747914193,0.17520040077461466,0.17234442552597182,0.507938611953617,0.13072142336881531,0.1286315749791998,0.24235589104988436,0.09019203956471697,0.03797752450222344,0.0018435422748559068,13.169857025608556,32.06517591402483,8.406304971366984,7758.740954443597
2023,50 - 54세,539,562.3786083569606,0.14540922217143548,0.17718760723533772,0.4919724242486518,0.10402575553722254,0.1750835923739645,0.21648325035670324,0.05718854580515758,0.07707269468984036,0.015345979850942312,13.30169552380805,31.765206180429452,8.02108970677594,8593.967345911156
2023,55 - 59세,452,482.6496456156164,0.17073283226167904,0.21479156024603288,0.5332930036463978,0.15474122815948002,0.2342480139048093,0.2633263787927999,0.1094033636228848,0.09488965610464692,0.033668038959610416,13.291817087233698,31.292830465735225,8.867910115453803,7935.493562134325
2023,60 - 64세,514,438.28772182064165,0.23893780728481478,0.23173709599648015,0.47823016102310023,0.12251300748040399,0.32184744606043536,0.3080596493142497,0.10590934698299104,0.139064619439543,0.051202710745951764,13.861965789800085,30.89162394744507,8.21771385257667,6753.751623415935
2024,40 - 44세,342,432.6291497843223,0.1778121290041925,0.15445307320183943,0.48410664114985474,0.11398848301068493,0.14085732399286802,0.21121624221124358,0.10446556950567013,0.03813589426888476,0.01588877076744241,13.4647497471752,32.320696183016935,8.282297277542702,7554.061139316963
2024,45 - 49세,432,455.9139767565065,0.15518665912155222,0.14848631266885462,0.5302563449240403,0.10796760624946924,0.11157937678979626,0.2028780895508735,0.07852249865306823,0.035392346211649155,0.009539455884623235,13.058213878797266,32.34504893541243,8.417003628799732,8392.048217461997
2024,50 - 54세,510,513.7074314064884,0.17294489792438472,0.1890948529814304,0.4815818214867714,0.09453157089271083,0.17184289795357968,0.23418991351203214,0.06891803521182846,0.06369625756352264,0.020200698307131976,13.61713379913182,31.729541120427964,8.079937103546694,8230.061302316222
2024,55 - 59세,471,509.38904717806514,0.16604124748569757,0.20809036755722438,0.5122680909639559,0.14358652103308842,0.2087897182849823,0.26398757313021487,0.11515794645089891,0.08913899875825256,0.01918237382368163,13.336001920777393,31.50225511517012,8.671561514712952,8240.913332098251
2024,60 - 64세,473,430.5825982530438,0.24230581477452287,0.27759511406411475,0.5088652809083251,0.09626460402399856,0.26774302427479413,0.3447930048492217,0.11306346375328358,0.14438864527848047,0.04576206653037835,14.095716871452513,30.593704645138693,8.118603133486184,7197.664034843324
