region,male_40_64_suicide_deaths,male_40_64_suicide_rate,male_40_64_suicide_rate_change_2020_2024,godoksa_count_2024,godoksa_per_100k_male_40_64_pop_proxy_2024
제주,103.0,72.8643794478416,16.365262903609953,48,33.95793139868522
충남,290.0,64.81027340049415,3.813542691340963,171,38.2122136840952
경북,325.0,60.98436226001049,12.30315700007548,162,30.40433569099622
강원,185.0,59.60477708831651,6.236147831483265,133,42.841105624704106
전남,224.0,59.38422259549998,10.113734253539043,112,29.689554403102157
전북,209.0,58.84683083788117,10.486858905337392,96,27.032641675147524
인천,366.0,58.7200010803582,11.840093470455372,260,41.70813687927666
광주,162.0,57.8428193127665,18.07234713309066,119,42.48854993480341
