region,year,male_40_64_suicide_deaths,male_40_64_population_est_from_suicide,male_40_64_suicide_rate
강원도,1996,100.0,196738.57366658575,50.82887312656373
강원도,1997,91.0,203938.92323059108,44.62120254362012
강원도,1998,156.0,212199.23668751656,73.51581581310056
강원도,1999,120.0,219950.10936171547,54.55782693095001
강원도,2000,100.0,227444.73820458463,43.96672386856927
강원도,2001,137.0,234421.91200592916,58.441635778712914
강원도,2002,153.0,240177.21437443508,63.702962164210035
강원도,2003,193.0,244135.22762821053,79.05454770907396
강원도,2004,181.0,247365.01190590084,73.17122118662986
강원도,2005,183.0,250876.74664252432,72.94418572031218
강원도,2006,168.0,254838.01280074008,65.9242309079535
강원도,2007,176.0,259108.6567927195,67.92517169381787
강원도,2008,150.0,265021.96332903556,56.599082625378074
강원도,2009,193.0,272620.9870148585,70.7942561991682
강원도,2010,208.0,279402.372483562,74.4446076642521
강원도,2011,220.0,286357.1151613499,76.82714636793274
강원도,2012,179.0,292572.62222564506,61.181391012706314
강원도,2013,193.0,298539.21434113674,64.64812350563149
강원도,2014,207.0,304504.4672328236,67.97929826156808
강원도,2015,211.0,310004.40435672586,68.06354910919256
강원도,2016,190.0,315461.7786934445,60.22916652119553
강원도,2017,174.0,318543.68716058123,54.62359073915182
강원도,2018,174.0,319485.767218099,54.46252004121918
강원도,2019,191.0,320075.9144841961,59.67334352783071
강원도,2020,171.0,320412.95116850955,53.368629256833245
강원도,2021,161.0,320672.79693292436,50.20694038904604
강원도,2022,184.0,319549.46397346014,57.58106983251956
강원도,2023,171.0,316072.1934138895,54.10156399809562
강원도,2024,185.0,310377.80701014143,59.60477708831651
경기도,1996,258.0,865998.3490568484,29.792204601889328
경기도,1997,288.0,940488.736509107,30.622376305004394
경기도,1998,459.0,1014174.7142890602,45.258474061026114
경기도,1999,358.0,1087925.9239304524,32.90665220170687
경기도,2000,367.0,1171793.866596416,31.31950170263184
경기도,2001,411.0,1266018.2841439138,32.463986116750256
경기도,2002,539.0,1364650.3519536767,39.49729681514027
경기도,2003,662.0,1457466.9581426962,45.42126984776458
경기도,2004,766.0,1540132.5942305445,49.735977465154306
경기도,2005,797.0,1622599.3814519749,49.118717109753156
경기도,2006,723.0,1701954.1967231776,42.48057917140268
경기도,2007,662.0,1773472.324486125,37.32790136388617
경기도,2008,792.0,1854114.9924913978,42.715797197442406
경기도,2009,1056.0,1942874.6560156713,54.352451236642324
경기도,2010,1067.0,2033356.8283949548,52.474803492422154
경기도,2011,1163.0,2122577.0442094007,54.79188626734557
경기도,2012,1078.0,2201687.242027427,48.96244931715742
경기도,2013,1209.0,2272133.853304018,53.209893345056926
경기도,2014,1191.0,2341661.313263532,50.86132624107474
경기도,2015,1121.0,2403869.521759416,46.6331466767601
경기도,2016,1046.0,2470014.786573987,42.347924623190025
경기도,2017,1001.0,2530683.08110183,39.5545379615126
경기도,2018,1136.0,2586822.715838639,43.91487646387521
경기도,2019,1180.0,2646217.3517051972,44.59195308501848
경기도,2020,1068.0,2704549.9892903594,39.48900941854028
경기도,2021,992.0,2764307.537711793,35.88602159733451
경기도,2022,1016.0,2806211.0720196883,36.20540201449507
경기도,2023,1226.0,2825763.0366140697,43.3865113286016
경기도,2024,1500.0,2828850.6728640436,53.02506825082213
경상남도,1996,133.0,455978.69396830327,29.168029506493852
경상남도,1997,129.0,367291.59546097065,35.12195802849724
경상남도,1998,255.0,382579.53478930914,66.65280727586
경상남도,1999,175.0,398166.70892164495,43.95143945458237
경상남도,2000,174.0,415162.6016384107,41.911289531696966
경상남도,2001,173.0,433285.91049122036,39.92744647613126
경상남도,2002,206.0,451166.99984260043,45.659367833167686
경상남도,2003,280.0,467462.73628895625,59.8978224922984
경상남도,2004,301.0,480612.0249403195,62.62847876879007
경상남도,2005,264.0,495207.09536675736,53.31102935923765
경상남도,2006,257.0,511206.6227354154,50.27321411151107
경상남도,2007,265.0,526389.1045748991,50.342987287703934
경상남도,2008,270.0,544664.9577175208,49.57175896379769
