region,year,godoksa_count,godoksa_share_pct,source_id,godoksa_yoy_change,godoksa_yoy_pct,expected_2024_if_national_growth,excess_2024_vs_expected,trajectory_type,is_seoul_gyeonggi_daegu,is_positive_excess_region,godoksa_2024_excess_applies_to_year,male_40_64_single_person_households,male_40_64_single_person_household_rate,single_household_dwelling_non_apartment_share,social_network_no_help_sick_pct,social_network_no_money_help_pct,social_network_no_depressed_talk_pct,daily_no_family_relative_exchange_pct,daily_no_nonkin_exchange_pct,depression_experience_std_rate,basic_livelihood_male_40_64_count,social_welfare_facility_count,male_40_64_suicide_deaths,male_40_64_suicide_rate,business_closure_male_40_64_count,business_closure_total_count,divorce_male_40_64_rate,employment_loss_male_45_64_count,health_insurance_arrears_male_45_64_count,debt_arrears_male_45_64_count,emergency_self_harm_male_45_64_count,death_discovery_delay_days
대전,2021,128,3.8,src_mohw_2025_godoksa,8.0,6.666666666666665,143.60475754803292,-36.60475754803292,declining_or_reduced,0,0,,,,,,,,,,,,,,,,,,,,,,
대전,2022,141,4.0,src_mohw_2025_godoksa,13.0,10.15625,143.60475754803292,-36.60475754803292,declining_or_reduced,0,0,,,,,,,,,,,,,,,,,,,,,,
대전,2023,104,2.8,src_mohw_2025_godoksa,-37.0,-26.241134751773053,143.60475754803292,-36.60475754803292,declining_or_reduced,0,0,,,,,,,,,,,,,,,,,,,,,,
대전,2024,107,2.7,src_mohw_2025_godoksa,3.0,2.8846153846153744,143.60475754803292,-36.60475754803292,declining_or_reduced,0,0,-36.60475754803292,,,,,,,,,,,,,,,,,,,,,
부산,2020,315,9.6,src_mohw_2025_godoksa,,,376.9624885635864,-9.96248856358642,moderate_or_stable,0,0,,,,,,,,,,,,,,,,,,,,,,
부산,2021,329,9.7,src_mohw_2025_godoksa,14.0,4.444444444444451,376.9624885635864,-9.96248856358642,moderate_or_stable,0,0,,,,,,,,,,,,,,,,,,,,,,
부산,2022,317,8.9,src_mohw_2025_godoksa,-12.0,-3.6474164133738607,376.9624885635864,-9.96248856358642,moderate_or_stable,0,0,,,,,,,,,,,,,,,,,,,,,,
부산,2023,287,7.8,src_mohw_2025_godoksa,-30.0,-9.463722397476337,376.9624885635864,-9.96248856358642,moderate_or_stable,0,0,,,,,,,,,,,,,,,,,,,,,,
부산,2024,367,9.4,src_mohw_2025_godoksa,80.0,27.874564459930305,376.9624885635864,-9.96248856358642,moderate_or_stable,0,0,-9.96248856358642,,,,,,,,,,,,,,,,,,,,,
서울,2020,571,17.4,src_mohw_2025_godoksa,,,683.3193046660567,100.68069533394328,large_base_excess_growth,1,1,,,,,,,,,,,,,,,,,,,,,,
서울,2021,619,18.3,src_mohw_2025_godoksa,48.0,8.406304728546399,683.3193046660567,100.68069533394328,large_base_excess_growth,1,1,,,,,,,,,,,,,,,,,,,,,,
서울,2022,678,19.1,src_mohw_2025_godoksa,59.0,9.531502423263326,683.3193046660567,100.68069533394328,large_base_excess_growth,1,1,,,,,,,,,,,,,,,,,,,,,,
서울,2023,559,15.3,src_mohw_2025_godoksa,-119.0,-17.551622418879052,683.3193046660567,100.68069533394328,large_base_excess_growth,1,1,,,,,,,,,,,,,,,,,,,,,,
서울,2024,784,20.0,src_mohw_2025_godoksa,225.0,40.25044722719142,683.3193046660567,100.68069533394328,large_base_excess_growth,1,1,100.68069533394328,,,,,,,,,,,,,,,,,,,,,
세종,2020,12,0.4,src_mohw_2025_godoksa,,,14.360475754803293,-5.360475754803293,declining_or_reduced,0,0,,,,,,,,,,,,,,,,,,,,,,
세종,2021,13,0.4,src_mohw_2025_godoksa,1.0,8.333333333333325,14.360475754803293,-5.360475754803293,declining_or_reduced,0,0,,,,,,,,,,,,,,,,,,,,,,
세종,2022,11,0.3,src_mohw_2025_godoksa,-2.0,-15.384615384615385,14.360475754803293,-5.360475754803293,declining_or_reduced,0,0,,,,,,,,,,,,,,,,,,,,,,
세종,2023,8,0.2,src_mohw_2025_godoksa,-3.0,-27.27272727272727,14.360475754803293,-5.360475754803293,declining_or_reduced,0,0,,,,,,,,,,,,,,,,,,,,,,
세종,2024,9,0.2,src_mohw_2025_godoksa,1.0,12.5,14.360475754803293,-5.360475754803293,declining_or_reduced,0,0,-5.360475754803293,,,,,,,,,,,,,,,,,,,,,
울산,2020,59,1.8,src_mohw_2025_godoksa,,,70.60567246111619,-2.605672461116185,moderate_or_stable,0,0,,,,,,,,,,,,,,,,,,,,,,
울산,2021,58,1.7,src_mohw_2025_godoksa,-1.0,-1.6949152542372836,70.60567246111619,-2.605672461116185,moderate_or_stable,0,0,,,,,,,,,,,,,,,,,,,,,,
울산,2022,59,1.7,src_mohw_2025_godoksa,1.0,1.724137931034475,70.60567246111619,-2.605672461116185,moderate_or_stable,0,0,,,,,,,,,,,,,,,,,,,,,,
울산,2023,72,2.0,src_mohw_2025_godoksa,13.0,22.033898305084755,70.60567246111619,-2.605672461116185,moderate_or_stable,0,0,,,,,,,,,,,,,,,,,,,,,,
울산,2024,68,1.7,src_mohw_2025_godoksa,-4.0,-5.555555555555558,70.60567246111619,-2.605672461116185,moderate_or_stable,0,0,-2.605672461116185,,,,,,,,,,,,,,,,,,,,,
인천,2020,248,7.6,src_mohw_2025_godoksa,,,296.78316559926805,-36.783165599268045,moderate_or_stable,0,0,,,,,,,,,,,,,,,,,,,,,,
인천,2021,248,7.3,src_mohw_2025_godoksa,0.0,0.0,296.78316559926805,-36.783165599268045,moderate_or_stable,0,0,,,,,,,,,,,,,,,,,,,,,,
인천,2022,215,6.0,src_mohw_2025_godoksa,-33.0,-13.306451612903224,296.78316559926805,-36.783165599268045,moderate_or_stable,0,0,,,,,,,,,,,,,,,,,,,,,,
인천,2023,208,5.7,src_mohw_2025_godoksa,-7.0,-3.2558139534883734,296.78316559926805,-36.783165599268045,moderate_or_stable,0,0,,,,,,,,,,,,,,,,,,,,,,
인천,2024,260,6.6,src_mohw_2025_godoksa,52.0,25.0,296.78316559926805,-36.783165599268045,moderate_or_stable,0,0,-36.783165599268045,,,,,,,,,,,,,,,,,,,,,
전남,2020,114,3.5,src_mohw_2025_godoksa,,,136.42451967063127,-24.42451967063127,declining_or_reduced,0,0,,,,,,,,,,,,,,,,,,,,,,
전남,2021,124,3.7,src_mohw_2025_godoksa,10.0,8.771929824561408,136.42451967063127,-24.42451967063127,declining_or_reduced,0,0,,,,,,,,,,,,,,,,,,,,,,
전남,2022,100,2.8,src_mohw_2025_godoksa,-24.0,-19.354838709677423,136.42451967063127,-24.42451967063127,declining_or_reduced,0,0,,,,,,,,,,,,,,,,,,,,,,
전남,2023,120,3.3,src_mohw_2025_godoksa,20.0,19.999999999999996,136.42451967063127,-24.42451967063127,declining_or_reduced,0,0,,,,,,,,,,,,,,,,,,,,,,
전남,2024,112,2.8,src_mohw_2025_godoksa,-8.0,-6.666666666666665,136.42451967063127,-24.42451967063127,declining_or_reduced,0,0,-24.42451967063127,,,,,,,,,,,,,,,,,,,,,
전북,2020,143,4.3,src_mohw_2025_godoksa,,,171.12900274473924,-75.12900274473924,declining_or_reduced,0,0,,,,,,,,,,,,,,,,,,,,,,
