age_band_2024,profile_2022,profile_2024,n,weighted_share
45 - 49세,lower_observed_risk,low_income_only,1,0.0012081291521886504
45 - 49세,depression_alcohol,low_self_esteem_alcohol,1,0.0009167511014076468
45 - 49세,low_income_only,low_self_esteem_alcohol,1,0.0009167511014076468
45 - 49세,lower_observed_risk,low_self_esteem_alcohol,1,0.0007984881345100652
45 - 49세,psych_only,low_income_only,1,0.00024237502365554657
45 - 49세,psych_low_income,low_self_esteem_alcohol,1,0.00012764387883341434
50 - 54세,lower_observed_risk,lower_observed_risk,137,0.29146375469622904
50 - 54세,alcohol_only,alcohol_only,70,0.11639269276515213
50 - 54세,lower_observed_risk,alcohol_only,41,0.09066283960473465
50 - 54세,alcohol_only,lower_observed_risk,32,0.06176261434145556
50 - 54세,lower_observed_risk,psych_only,29,0.05344652946357991
50 - 54세,low_income_only,low_income_only,20,0.04378733236511236
50 - 54세,psych_only,lower_observed_risk,16,0.03957195934108392
50 - 54세,psych_only,psych_only,18,0.03472129823458353
50 - 54세,low_income_only,lower_observed_risk,14,0.025762335954559967
50 - 54세,psych_low_income,psych_low_income,10,0.02501400649342001
50 - 54세,psych_low_income,low_income_only,8,0.016811436291447088
50 - 54세,alcohol_only,psych_only,7,0.014648293040636733
50 - 54세,alcohol_only,depression_alcohol,4,0.014468718852050482
50 - 54세,lower_observed_risk,depression_alcohol,6,0.01389248948768071
50 - 54세,lower_observed_risk,low_income_only,6,0.012950426664766142
50 - 54세,depression_alcohol,alcohol_only,6,0.012343713462388588
50 - 54세,psych_only,low_income_only,3,0.011269698676769744
50 - 54세,depression_alcohol,lower_observed_risk,5,0.010741546175729231
50 - 54세,depression_alcohol,psych_only,4,0.010734599040984482
50 - 54세,compound_psych_alcohol_low_income,compound_psych_alcohol_low_income,5,0.010476134196352072
50 - 54세,low_self_esteem_alcohol,lower_observed_risk,4,0.009947456493935431
50 - 54세,psych_low_income,alcohol_only,2,0.007327555616143233
50 - 54세,alcohol_only,compound_psych_alcohol_low_income,4,0.007032120249120948
50 - 54세,low_income_only,psych_low_income,5,0.00655055382555038
50 - 54세,depression_alcohol,depression_alcohol,5,0.006319607192313475
50 - 54세,compound_psych_alcohol_low_income,psych_low_income,3,0.004087513188773961
50 - 54세,psych_low_income,lower_observed_risk,2,0.003695108021119475
50 - 54세,low_self_esteem_alcohol,psych_only,1,0.0036833776855968656
50 - 54세,alcohol_only,low_income_only,3,0.003495905945489473
50 - 54세,depression_alcohol,low_income_only,2,0.0032866494497828676
50 - 54세,compound_psych_alcohol_low_income,low_income_only,1,0.002988966852545584
