survey_year,age_band,alcohol_only,compound_psych_alcohol_low_income,depression_alcohol,low_income_only,low_self_esteem_alcohol,lower_observed_risk,psych_low_income,psych_only,suicide_deaths,suicide_rate
2019,40 - 44세,0.30651193173643404,0.016996158764943797,0.050538411576786464,0.07558880013313933,0.02821711799857171,0.4428335208886945,0.025666192780997066,0.053647866120433194,795,40.6
2019,45 - 49세,0.2803507520760313,0.020763118183780266,0.05683824096960767,0.07684322952084605,0.02459851210547337,0.4077241940289602,0.0517350584729853,0.08114689464231598,1090,47.9
2019,50 - 54세,0.294703757385149,0.03288163903280847,0.04455995332746673,0.05467625878024604,0.0072589489083125965,0.4489120386133945,0.04761122841100237,0.06939617554162039,1050,48.9
2019,55 - 59세,0.22481128503286002,0.03206448583821611,0.06720147784871423,0.08368571053752476,0.032348867050459175,0.386143422618076,0.07000462847173966,0.10374012260241,1115,52.2
2019,60 - 64세,0.21153257944292475,0.0642825912781097,0.03075706607054902,0.11616065371881452,0.02004819184121047,0.3729424292119158,0.0976783500985593,0.08659813833791645,993,55.8
2020,40 - 44세,0.3315699260032582,0.026134624300551915,0.03918160102851365,0.04819683868847946,0.014838358728638503,0.4138980284446993,0.04466051690815636,0.08152010589770262,750,38.2
2020,45 - 49세,0.26339661624707267,0.019916690180403332,0.041687301339156484,0.09434244569305937,0.027377048343719304,0.41607342548392307,0.038535356705121405,0.09867111600754434,950,42.7
2020,50 - 54세,0.2696390970264733,0.037829546651561616,0.05348230497646358,0.030650105642271535,0.030285977285697502,0.4444283791174669,0.05751497676265995,0.07616961253740548,913,41.8
2020,55 - 59세,0.23338377891609957,0.03887607306313851,0.044015250847536554,0.06613208889995405,0.030152465887358586,0.42905103698538694,0.04042741728011031,0.11796188812041547,1051,49.7
2020,60 - 64세,0.21340307286007829,0.057936283671101006,0.04187398290065636,0.10579563658401524,0.026078865364208968,0.3583336532253968,0.10785871803864619,0.08871978735589715,822,43.7
2021,40 - 44세,0.27249391824057656,0.013735422673630726,0.0443769116338184,0.06824046619231282,0.0217375571213978,0.4707402081612207,0.04008318044614461,0.06859233553089845,765,38.3
2021,45 - 49세,0.27331914770950366,0.01681841631808994,0.04976750835573686,0.08066175476991883,0.014341419445543362,0.4391461267134719,0.03441118106661052,0.09153444562112502,847,39.5
2021,50 - 54세,0.2776772008954694,0.02065037592251601,0.03691224881036158,0.069166259095787,0.019715244296600827,0.43131592297374854,0.03602016400533791,0.10854258400017874,955,42.9
2021,55 - 59세,0.20474797926670282,0.025944692521029985,0.047631011754493705,0.0776012851434213,0.020688418651919487,0.44438353282792575,0.055443741715514076,0.12355933811899292,926,44.5
2021,60 - 64세,0.2067504012224064,0.03303774758379329,0.0352087523145703,0.08718387111304701,0.033904222931764504,0.38015356883962215,0.09474236902337863,0.12901906697141774,850,43.0
2022,40 - 44세,0.24255053430839552,0.015822030261161774,0.06312287774330559,0.04593319926853306,0.015678133295684564,0.5488831510943792,0.02565211443955251,0.04235795958898777,752,37.1
2022,45 - 49세,0.27085176351272494,0.021376199051413424,0.04090684412571288,0.0881746827339926,0.03542860869883126,0.3995965677831314,0.04019026313806571,0.10347507095612785,865,41.9
2022,50 - 54세,0.23439467915337928,0.024226582981024654,0.07185805961573437,0.07200033458566875,0.029180474999321807,0.4259635840026101,0.07551334501378147,0.06686293964847953,929,41.0
2022,55 - 59세,0.24961949228459687,0.035093960548800936,0.051599178325987045,0.11551177705702081,0.01619945809696771,0.3788880314566436,0.05604378031295615,0.09704432191702685,907,44.3
2022,60 - 64세,0.20165154482852624,0.04853911576778868,0.045276383145451106,0.09380022974887464,0.008220726818527481,0.4021884991633249,0.10700878449217281,0.09331471603533421,836,40.8
2023,40 - 44세,0.30917631541240315,0.017059579485166836,0.04906803451436523,0.05014303689413948,0.02456676181560147,0.42925829189270803,0.033603832974039814,0.08712414701157595,846,41.4
2023,45 - 49세,0.26865596329867086,0.0018435422748559068,0.06293704457608973,0.06664644766286332,0.025411452713771345,0.42234169798858134,0.03613398222736753,0.11602986925779982,890,44.7
2023,50 - 54세,0.27354773385557823,0.015345979850942312,0.02604854650942112,0.0863105147803164,0.015794019444794152,0.42365850100740204,0.06172671483889805,0.09756798971264763,1045,46.1
2023,55 - 59세,0.24010772761514512,0.033668038959610416,0.038078786848104826,0.10702099884943535,0.03765653781516956,0.3895448947426196,0.0612216171450365,0.09270139802487858,1011,49.1
2023,60 - 64세,0.20890197780970687,0.05120271074595175,0.04051154688152344,0.13396789877513463,0.014195089355515863,0.34907047410090886,0.08786190869359127,0.11428839363766732,1007,48.5
2024,40 - 44세,0.23402942005896807,0.01588877076744241,0.06838530125235724,0.07416469711568865,0.020191497485870465,0.4805896406140999,0.02224712350144235,0.0845035492041311,953,47.5
2024,45 - 49세,0.2987651633711021,0.009539455884623235,0.06427939855855695,0.045285493973815594,0.004703644209888043,0.4530712531042086,0.02585289032702592,0.09850270057077937,1066,54.9
2024,50 - 54세,0.22985366360435677,0.020200698307131976,0.03674034726283416,0.09463993014088964,0.01197698964186231,0.4413164927427214,0.04349555925639067,0.12177631904381306,1223,54.5
2024,55 - 59세,0.22417870090415606,0.01918237382368163,0.05351460654828728,0.09483834629336883,0.04246096607893001,0.41699537967226014,0.06995662493457094,0.07887300174474504,1166,55.4
2024,60 - 64세,0.20202300526348388,0.04576206653037835,0.05305811737436631,0.1000006544229925,0.014243279848538926,0.353183335464302,0.0986265787481021,0.133102962347836,1065,51.3
