year,total,gini_region_counts,hhi_region_shares,effective_number_regions,entropy_region_shares,top1_share_pct,top2_share_pct,top3_share_pct,top5_share_pct
2020,3279,0.43887124840787184,0.1072847896467219,9.320985792048436,2.4933136214078844,20.67703568161025,38.0908813662702,47.69746874046965,62.12259835315644
2021,3378,0.44425869815066354,0.11063297111775039,9.038896722168532,2.482075092167911,21.107164002368265,39.43161634103019,49.17110716400237,62.5222024866785
2022,3559,0.44113515032312445,0.11142123846394274,8.974949603738358,2.480946572460146,21.045237426243325,40.09553245293622,49.00252880022478,62.264681090193875
2023,3661,0.43761749441650455,0.11601941099257394,8.619247343567423,2.4726172690562827,25.184375853591916,40.453428025129746,48.29281617044523,60.39333515432942
2024,3924,0.47535527972656944,0.12136350080686978,8.239709577851887,2.424631472460764,22.782874617737004,42.762487257900105,52.1151885830785,64.78083588175332
