age_band_2024,n_linked,weight_sum,persistent_depression_high_share,new_depression_high_share,remitted_depression_high_share,persistent_problem_drinking_share,new_problem_drinking_share,remitted_problem_drinking_share,persistent_psych_any_share,new_psych_any_share,remitted_psych_any_share,persistent_low_income_share,new_low_income_share,remitted_low_income_share,persistent_compound_psych_alcohol_share,new_compound_psych_alcohol_share,remitted_compound_psych_alcohol_share,persistent_triple_psych_alcohol_low_income_share,new_triple_psych_alcohol_low_income_share,remitted_triple_psych_alcohol_low_income_share
40 - 44세,342,432.6291497843223,0.025263112321314625,0.13450745024594557,0.06208213264675822,0.14004309707373436,0.1984518924909038,0.07777761431264948,0.0462389196566423,0.16497732255460126,0.0631015733409118,0.04750233624509203,0.093354987747776,0.0449745878327976,0.012763490392058631,0.09170207911361149,0.04923761860330463,0.0019789713850310873,0.013909799382411322,0.011013983578389093
45 - 49세,432,455.9139767565065,0.04138120513199797,0.1035571022710426,0.1063497855813948,0.24338530931577768,0.13390235270839268,0.12498641614111482,0.07820925744351508,0.12466883210735843,0.13257533517704137,0.0927949493590889,0.01878442743070738,0.04947701707110977,0.01803403991337454,0.06048845873969369,0.0695329905524089,0.003059686287083411,0.006479769597539823,0.010210425930291384
50 - 54세,510,513.7074314064884,0.05349366159028516,0.10304934458319627,0.08370063049614195,0.17820861522501796,0.1205630835911673,0.12453753496342294,0.10879825741882915,0.12539165609320302,0.11991905792171652,0.123310026209077,0.04853287174450268,0.05036735449792139,0.02383624456274402,0.04508179064908442,0.06191504655988856,0.010306433275417097,0.00989426503171488,0.01170418407806368
55 - 59세,471,509.38904717806514,0.05473649550424868,0.09897467175609549,0.09210134337152544,0.2398635414767163,0.09947310587833874,0.11761137774900812,0.13384649405712368,0.1301410790730912,0.10302825359569572,0.14893103290636361,0.05985868537861866,0.05750443925366995,0.047362721581438706,0.06779522486946023,0.06951539629815683,0.0027568678916243755,0.016425505932057254,0.028579486624589884
60 - 64세,473,430.5825982530438,0.08331085401693863,0.14561067756123275,0.13052456407038104,0.18776701658711611,0.12731945242965143,0.106951148533714,0.17574550436224154,0.1690475004869801,0.14170186347397626,0.18671353891458525,0.08102948536020887,0.09593693181483061,0.04318825083786794,0.06987521291541564,0.0634892597065365,0.02803344538944007,0.017728621140938275,0.026896119835387804
