region,godoksa_count_2024,total_population_est_2024,godoksa_per_100k_total_pop_2024,male_40_64_population_est_2024,godoksa_per_100k_male_40_64_pop_proxy_2024,godoksa_pct_change_2020_2024,godoksa_excess_pct_vs_expected_2024,excess_2024_vs_expected,godoksa_excess_per_100k_total_pop_2024,godoksa_excess_per_100k_male_40_64_pop_proxy_2024,male_40_64_suicide_rate,male_40_64_single_household_rate_pct_2024,basic_livelihood_male_40_64_rate_per_1000_2024,robust_level_burden_index,robust_growth_burden_index,robust_overall_godoksa_index
대구,229,2361013.3708655876,9.699225037257824,473115.6184811044,48.402544970970126,83.2,53.0868501529052,79.41171088746569,3.3634587532366242,16.784842390621115,53.03220448270113,15.572726226315137,57.82307523016724,1.200227244168623,2.140082805699853,1.6826434798852579
부산,367,3265862.8668858847,11.237458979713605,637667.0592161927,57.55354533306282,16.507936507936506,-2.6428328721906604,-9.96248856358642,-0.3050492004609491,-1.562333888758831,50.00187198404717,15.737993448078615,61.91789183611225,2.0697228425167884,0.030164553738831035,1.0526345507276265
제주,48,669032.3461171011,7.174541003671971,141351.3663021843,33.95793139868522,77.77777777777779,48.55589534488617,15.688929551692588,2.3450180910904037,11.09924152989963,72.8643794478416,17.59586811975206,42.77991899330198,-0.19787598464854855,1.839042677089738,0.8298091410867403
서울,784,9287475.779460981,8.441475580844003,1739271.976452198,45.0763313969572,37.3029772329247,14.734062779500528,100.68069533394328,1.084047998882496,5.788668862434832,40.59211632094649,15.369936595269875,45.15682484588033,0.6988830897735299,0.7321474809164418,0.7201408845634607
강원,133,1517317.6123802506,8.765468674113647,310449.5041867132,42.841105624704106,35.714285714285715,13.406509392747932,15.722781335773108,1.0362221599147212,5.064521322706632,59.60477708831651,19.536510505593448,42.274185730723055,0.6720885503633813,0.689000427886743,0.6849151230539527
충북,128,1587688.3239171375,8.062035732819334,328411.0209647572,38.97554948794976,30.612244897959183,9.14310678399801,10.722781335773108,0.6753706740953986,3.265049176569444,56.33535877033236,19.011542248668995,36.98414250629983,0.29056643517231234,0.5131665652000198,0.4048644727883134
인천,260,2993639.688344729,8.68507993838636,623379.559611029,41.70813687927666,4.838709677419355,-12.393952846009661,-36.783165599268045,-1.228710513909793,-5.900605021797585,58.7200010803582,15.710653082868143,46.06984550138255,0.593628555553096,-0.3896787835976854,0.10069588255532236
경기,894,13598684.210526315,6.574165457184326,2829282.9698070507,31.598111943570224,31.858407079646017,10.184433438878521,82.63311985361395,0.6076552596879207,2.920638223021196,53.02506825082213,15.086507944064332,27.16695389618163,-0.47612607002343377,0.5280891339025722,0.028117081753354117
광주,119,1409224.1246336573,8.44436295971979,280075.45605251216,42.48854993480341,0.847457627118644,-15.72915046908204,-22.21134492223237,-1.5761399861080612,-7.930486032331195,57.8428193127665,17.862686257884704,59.99454660121862,0.5691408611630733,-0.5389442373246224,0.013020824707808132
경북,162,2535377.8312287033,6.389580203968693,532818.7454790332,30.40433569099622,20.0,0.27522935779817587,0.4446477584629633,0.01753773157539508,0.0834519735343021,60.98436226001049,18.77561569461273,46.75698858455486,-0.5852889669762361,0.16410773944325335,-0.21046273345179223
경남,237,3229760.615902803,7.338005139856233,696580.6752473883,34.02333834710965,5.333333333333334,-11.980632008154934,-32.25892040256173,-0.9988022097899201,-4.63103866484741,47.80872573541221,17.660265977994662,42.35403169851375,-0.15122146260584152,-0.33758210681825956,-0.24632506360316225
울산,68,1097594.7395743208,6.195364969257449,240980.94650031973,28.217998554466533,15.254237288135592,-3.690457678950903,-2.605672461116185,-0.23739841010232432,-1.0812773785469083,57.25850698264619,15.856855305342282,30.45883961614476,-0.7470632781182422,0.015066466122908092,-0.36683604079196214
충남,171,2126497.852136559,8.041390675668492,447500.8996172712,38.2122136840952,-11.398963730569948,-25.96258972286923,-59.96431838975295,-2.8198626360945966,-13.399820746961163,64.81027340049415,19.222307725765315,31.736249049211697,0.24659384532267525,-1.0288905865709639,-0.3961434608780256
대전,107,1435389.6103896103,7.454422076453291,282188.38965417346,37.917931397223775,-10.833333333333334,-25.489933741080524,-36.60475754803292,-2.5501618015820267,-12.971744724470296,52.8158979303686,16.54178616533653,45.62554829338842,0.07606972462173221,-0.9680945640193585,-0.4509034088097616
전남,112,1792316.6057580889,6.248895961806246,377237.0527335955,29.68955440310216,-1.7543859649122806,-17.903320993615527,-24.42451967063127,-1.3627346637398658,-6.474581299382551,59.38422259549998,18.731988145900097,44.78351179339356,-0.6586510483847662,-0.5571500551680778,-0.6115758997109124
전북,96,1741653.0944625407,5.512004675628288,355126.225374628,27.032641675147524,-32.86713286713287,-43.90196959004298,-75.12900274473924,-4.313660566711387,-21.15557719385115,58.84683083788117,18.09666406140657,57.25288234782286,-0.988092582770137,-1.7643378490934587,-1.3865092898961804
세종,9,387750.29446407536,2.3210814094775216,77568.8975491856,11.602588517251,-25.0,-37.32798165137614,-5.360475754803293,-1.3824556244921007,-6.910599382187008,36.05920263628728,12.156934413075216,16.604593344688098,-2.6126017551280007,-1.0661896674079332,-1.8480855439800394
