survey_year,age_band,profile,n,weighted_share
2021,55 - 59세,depression_alcohol,25,0.047631011754493705
2021,55 - 59세,low_income_only,54,0.0776012851434213
2021,55 - 59세,low_self_esteem_alcohol,8,0.020688418651919487
2021,55 - 59세,lower_observed_risk,190,0.44438353282792575
2021,55 - 59세,psych_low_income,42,0.055443741715514076
2021,55 - 59세,psych_only,46,0.12355933811899292
2021,60 - 64세,alcohol_only,112,0.2067504012224064
2021,60 - 64세,compound_psych_alcohol_low_income,21,0.03303774758379329
2021,60 - 64세,depression_alcohol,17,0.0352087523145703
2021,60 - 64세,low_income_only,75,0.08718387111304701
2021,60 - 64세,low_self_esteem_alcohol,15,0.033904222931764504
2021,60 - 64세,lower_observed_risk,188,0.38015356883962215
2021,60 - 64세,psych_low_income,65,0.09474236902337863
2021,60 - 64세,psych_only,73,0.12901906697141774
2022,40 - 44세,alcohol_only,128,0.24255053430839552
2022,40 - 44세,compound_psych_alcohol_low_income,8,0.015822030261161774
2022,40 - 44세,depression_alcohol,25,0.06312287774330559
2022,40 - 44세,low_income_only,26,0.04593319926853306
2022,40 - 44세,low_self_esteem_alcohol,6,0.015678133295684564
2022,40 - 44세,lower_observed_risk,206,0.5488831510943792
2022,40 - 44세,psych_low_income,17,0.02565211443955251
2022,40 - 44세,psych_only,22,0.04235795958898777
2022,45 - 49세,alcohol_only,136,0.27085176351272494
2022,45 - 49세,compound_psych_alcohol_low_income,12,0.021376199051413424
2022,45 - 49세,depression_alcohol,18,0.04090684412571288
2022,45 - 49세,low_income_only,42,0.0881746827339926
2022,45 - 49세,low_self_esteem_alcohol,10,0.03542860869883126
2022,45 - 49세,lower_observed_risk,205,0.3995965677831314
2022,45 - 49세,psych_low_income,15,0.04019026313806571
2022,45 - 49세,psych_only,39,0.10347507095612785
2022,50 - 54세,alcohol_only,124,0.23439467915337928
2022,50 - 54세,compound_psych_alcohol_low_income,10,0.024226582981024654
2022,50 - 54세,depression_alcohol,33,0.07185805961573437
2022,50 - 54세,low_income_only,40,0.07200033458566875
2022,50 - 54세,low_self_esteem_alcohol,14,0.029180474999321807
2022,50 - 54세,lower_observed_risk,237,0.4259635840026101
2022,50 - 54세,psych_low_income,30,0.07551334501378147
2022,50 - 54세,psych_only,35,0.06686293964847953
2022,55 - 59세,alcohol_only,110,0.24961949228459687
2022,55 - 59세,compound_psych_alcohol_low_income,19,0.035093960548800936
2022,55 - 59세,depression_alcohol,17,0.051599178325987045
2022,55 - 59세,low_income_only,53,0.11551177705702081
2022,55 - 59세,low_self_esteem_alcohol,9,0.01619945809696771
