age_band,rate_change_2022_2024,suicide_rate,psychosocial_vulnerability_zmean,mismatch_suicide_minus_psychosocial,observed_risk_change_zmean,suicide_acceleration_z,hidden_acute_crisis_index,persistent_accumulation_zmean,new_risk_entry_zmean,refined_mechanism_type,depression_high_share_change_2022_2024,self_esteem_low_share_change_2022_2024,problem_drinking_share_change_2022_2024,psych_any_share_change_2022_2024,compound_psych_alcohol_share_change_2022_2024,low_income_share_change_2022_2024,persistent_depression_high_share,persistent_psych_any_share,persistent_low_income_share,persistent_problem_drinking_share,persistent_compound_psych_alcohol_share,persistent_triple_psych_alcohol_low_income_share
40 - 44세,10.4,40.516666666666666,-0.7645915778006542,-1.0024026784560192,1.181719683177586,-1.0017798886822242,-2.1834995718598105,-1.2823316557405438,1.292263549049463,new_risk_entry,0.0419206528116641,0.0604553755616649,0.035188671276479,0.0485831268825513,0.0098425282055181,0.0305946161635373,0.0252631123213146,0.0462389196566423,0.047502336245092,0.1400430970737343,0.0127634903920586,0.001978971385031
45 - 49세,13.0,45.26666666666667,-0.3750124369991586,0.2569813864829972,-0.6543039205732026,1.0017798886822256,1.6560838092554282,-0.3413620144393003,-0.8208318009239399,hidden_acute_crisis,0.0018608915455635,-0.0405026291000273,0.0319327517535825,-0.0384988964192776,-0.0191891532228893,-0.0634741813849944,0.0413812051319979,0.078209257443515,0.0927949493590889,0.2433853093157776,0.0180340399133745,0.0030596862870834
50 - 54세,13.5,45.86666666666667,-0.0508453453361728,0.141104383966179,-1.0643173453569572,1.3870798458676967,2.451397191224654,-0.09907655672268001,-0.6325998978726887,hidden_acute_crisis,-0.0077813660476726,-0.0149632260675307,-0.034619846789733,-0.0334514887463096,-0.0563470823842523,-0.0337516256343798,0.0534936615902851,0.1087982574188291,0.123310026209077,0.1782086152250179,0.023836244562744,0.010306433275417
55 - 59세,11.1,49.2,0.3899974226609298,0.857428777892239,-0.228160546341992,-0.46235994862256513,-0.23419940228057312,0.5147341635425695,-0.6755299712268178,persistent_accumulation,-0.0118166835562982,0.0150154859333549,-0.0118466857845994,0.0080068739284762,0.0122653494791432,-0.0323883904267016,0.0547364955042486,0.1338464940571236,0.1489310329063636,0.2398635414767163,0.0473627215814387,0.0027568678916243
60 - 64세,10.5,47.18333333333334,0.8004519374750646,-0.2531118698854073,0.7650621290945657,-0.9247198972451303,-1.6897820263396959,1.2080360633599534,0.8366981209739851,persistent_accumulation,0.0169226719300552,0.0722981683407922,0.0373748446746734,0.0424332785899473,0.0110272380215162,-0.0141798157628292,0.0833108540169386,0.1757455043622415,0.1867135389145852,0.1877670165871161,0.0431882508378679,0.02803344538944
