survey_year,age_band,n,unique_people,weight_sum,age_wm,h_din_wm,CES_D_wm,SELF_ESTEEM_wm,AUDIT_wm,low_income_wm,high_income_wm,depression_high_wm,self_esteem_low_wm,problem_drinking_wm,high_risk_drinking_wm,p03_5_wm,p03_6_wm,p03_7_wm,p03_9_wm,p03_10_wm,p05_aq1_wm,p05_aq2_wm,p05_aq3_wm,p05_7aq1_mod_wm,p05_12aq1_wm,p03_composite_wm,p05_aq_composite_wm,cause,sex,suicide_deaths,suicide_rate,age_start
2019,40 - 44세,405,405,397.1251955481338,41.868317068196106,6695.016528501687,12.686525417779825,32.64445108140873,8.435300400432814,0.1520491804145483,0.0933052824648377,0.120991152304275,0.1212089023995922,0.5397111431203796,0.1137095564601669,3.7061856944433207,3.1680433618124977,3.6725478424756206,3.609896088418809,3.8538318260234528,5.819750617263368,4.754841184705181,4.369330965102807,0.0042602430575824,6.757849855545769,0.0835264917205157,-0.0181016623925699,고의적 자해(자살) (X60-X84),남자,795,40.6,40
2019,45 - 49세,496,496,441.7613359104787,47.079265935437626,7068.404410347228,13.385883573847543,31.99280649320592,8.231924704145912,0.1732970396773261,0.1029435908082666,0.1721716858683122,0.1609682487123497,0.5373293389591021,0.0828440600654637,3.615265957924957,3.30251994924962,3.742951682215357,3.647533592077214,3.821844547756307,5.746868886545308,4.6894241622676684,4.917459551623287,0.0124824900362782,6.764562430574728,0.1102692187666568,0.0293546736365195,고의적 자해(자살) (X60-X84),남자,1090,47.9,45
2019,50 - 54세,436,436,425.8002531997199,51.94460790700793,7641.874832530066,13.301489625669497,32.08574976087554,8.42495127436602,0.1675078829490067,0.1508836684283839,0.1726851531648365,0.1055613558542949,0.5512161955604677,0.1078476608104243,3.661872874946026,3.243204530110963,3.761558583584529,3.605485848689081,3.736626902665086,5.8355202866110645,4.931899000527675,5.321224256846507,0.0094891353037229,6.740704560467214,0.0757432165376716,0.1290225561448963,고의적 자해(자살) (X60-X84),남자,1050,48.9,50
2019,55 - 59세,409,409,416.5599336359487,57.05154609978243,7598.614023842478,13.707835779629333,31.243958136209585,8.74520725939786,0.2065398426758469,0.1727420699491078,0.2214310387704152,0.2166845424465885,0.5405803443645286,0.1549652933601298,3.5021214903885385,3.0307812804620244,3.6243179101544847,3.4497202252019608,3.676212748466624,5.655579659323369,5.092826182283757,5.502037796550487,0.0342982873217017,6.465983714671223,-0.1103039680705606,0.1340716383466749,고의적 자해(자살) (X60-X84),남자,1115,52.2,55
2019,60 - 64세,411,411,381.2318492499962,61.89664553261326,6130.79048761176,13.458973843067362,30.90315338248633,8.168863554222344,0.3156001928094045,0.111083487907086,0.1895209073829038,0.2187118905068014,0.499580062848561,0.1057026907294094,3.4098009876770794,3.085522917575982,3.623448829233788,3.4376068855589152,3.714904831977097,5.467363030667198,4.837258152942806,5.2368749274878335,0.0054883237005729,6.299276822853394,-0.1122417446416367,0.0298694772656108,고의적 자해(자살) (X60-X84),남자,993,55.8,60
2020,40 - 44세,369,369,386.8816679492051,41.98309691432296,7083.974323455206,13.306928805128091,31.955738377584044,8.819118929643935,0.1689357587225591,0.1056516977350466,0.1441151145507263,0.1641788087922612,0.5737964087591053,0.1675794527644505,3.6768879409198174,3.25578450330359,3.714267267998278,3.5653644385284675,3.7588445026303634,5.921104963409453,4.835832098071385,4.708843182084279,0.0176743899451526,6.734376990560042,0.0659840728123155,0.0565177121455552,고의적 자해(자살) (X60-X84),남자,750,38.2,40
2020,45 - 49세,470,470,401.1566858827633,47.11727275485369,7329.814675349813,13.360029966354633,32.02455228517319,7.643114690864608,0.1702936430796682,0.1375111161245755,0.1653248642529257,0.1633971613956343,0.4678850003406927,0.1046747127035168,3.610803516763169,3.2606198666515103,3.686429356057449,3.581368940919589,3.741310146787622,5.85143157843806,4.853442526206783,5.057426524778199,0.0034470442956113,6.759164344798849,0.0413402296593398,0.0889504759947799,고의적 자해(자살) (X60-X84),남자,950,42.7,45
2020,50 - 54세,465,465,438.7801987753212,51.97547577794561,7578.540144676219,13.26254424258764,31.694724234357796,8.871532167691957,0.1581688911544358,0.1347075837354113,0.1562443075712193,0.2019394502678109,0.5747502218879414,0.1547429662266777,3.529361436632496,3.22809937658852,3.738634868918136,3.605344667933151,3.7563879812008234,5.814817063383462,4.805284463153982,5.100568882669254,0.005521740762713,6.684911643730153,0.0387902998525402,0.0810598832827594,고의적 자해(자살) (X60-X84),남자,913,41.8,50
2020,55 - 59세,378,378,387.32453031905936,57.043239769602096,7382.359841470656,13.40690409390418,31.3511609583334,8.132141878475736,0.1805868745085266,0.1624840687080377,0.1942643229469985,0.2001481825650288,0.5014409334353258,0.1056016767106752,3.495183794472255,3.1586508071239003,3.640183179404536,3.4657869817974176,3.615981328827238,5.628530976212047,4.875361249294545,5.253625606450912,0.0093366082935144,6.593249727204186,-0.0934719326745953,0.0702783801615171,고의적 자해(자살) (X60-X84),남자,1051,49.7,55
2020,60 - 64세,420,420,393.255123096278,61.84991622959394,6201.2888708102655,13.811001996000313,30.69496719775044,8.293023577603128,0.2994549869041217,0.1062869844551081,0.1964282357763904,0.2811756185124731,0.4910843065235269,0.1458042828120945,3.280192106965546,3.00756134537127,3.614995019934699,3.4062140135310197,3.6321490788413775,5.419666457068558,4.826371224236782,5.340449300804885,0.023490261889545,6.367169618074972,-0.199368674198719,0.0319273747016222,고의적 자해(자살) (X60-X84),남자,822,43.7,60
2021,40 - 44세,455,455,510.3149395494931,41.99753493055947,7208.105297290583,13.042939870429716,32.66444199352857,8.136377114247775,0.1429714005186095,0.0856954187352866,0.148199124662675,0.1271399967186956,0.4928595326467,0.1222825926259199,3.665961546239889,3.251240477452076,3.6893137523420503,3.6217360189837087,3.810968329715275,6.083308141454073,4.856202524710653,4.766958349386973,0.0033424555943109,6.880413365164584,0.0864457696063938,0.1003333341071252,고의적 자해(자살) (X60-X84),남자,765,38.3,40
2021,45 - 49세,516,516,492.6026750263339,47.09885488500052,7344.120734891693,12.961995004979885,32.0931994381619,8.520022283092098,0.1524432002126188,0.1274078176535685,0.1370389649156649,0.1390815042971899,0.5489488353105212,0.1360672606135875,3.6039613905081382,3.2495486546595007,3.705766900437448,3.6400716398874176,3.820716792008217,5.911254154467184,4.922075307687708,5.035469892758099,0.0051788796295933,6.707672965573287,0.0828078160484583,0.1068799268548966,고의적 자해(자살) (X60-X84),남자,847,39.5,45
2021,50 - 54세,545,545,533.0075509599767,51.94834307526288,7767.760933299706,13.189953118723794,32.13960273484354,8.21418654702504,0.1623056718378129,0.1791530295619265,0.1530741780839182,0.1636208763793074,0.5067667771091074,0.1178012126176268,3.5707644293453327,3.233765756808274,3.693122148217525,3.592993914646414,3.768818044461668,5.781544938061618,4.945884406882267,5.138497744280541,0.0151373310894034,6.6434932194433785,0.0387036001075871,0.0959102131249483,고의적 자해(자살) (X60-X84),남자,955,42.9,50
2021,55 - 59세,481,481,516.1672856802304,57.04976969157349,7757.005361981284,13.583889301470066,31.37628075048265,7.742759191739522,0.1879989402625132,0.1875260464286843,0.1982387517761895,0.2215882746569469,0.4574808155796628,0.1153037407408533,3.453956324620306,3.138665906352101,3.764824758897958,3.449111642756113,3.7365491965940514,5.769618535168272,5.010839721679786,5.432935935760124,0.0099222761637202,6.482681590171636,-0.0401750200623569,0.1391340242744033,고의적 자해(자살) (X60-X84),남자,926,44.5,55
2021,60 - 64세,566,566,492.65320579321536,61.88540212630751,6637.353078955986,14.245306706848618,30.62276405053644,8.076028086746845,0.25775373032265,0.1425259295609849,0.2263922321349049,0.280732943930172,0.4744726482894046,0.1054123253858219,3.2419506696341664,3.0320511717322964,3.631628721265488,3.4420963591071185,3.683850241537594,5.4906606645038645,4.98441654809339,5.512581685746527,0.029243100283745,6.223630182204946,-0.1731620441875554,0.0879322233869935,고의적 자해(자살) (X60-X84),남자,850,43.0,60
2022,40 - 44세,438,438,512.1118146437891,41.97961043190799,7364.967098464811,12.914456543779863,32.46632252160628,7.628965644182556,0.1102627078293306,0.1286526024294211,0.1358914761925283,0.0939976976401744,0.4489179698733757,0.0673808037082444,3.74667096617418,3.307151673357408,3.7712402155803817,3.69117896289503,3.87266086124874,6.111647442775774,4.784637534497733,4.799551995902865,0.0169141198317774,6.908974037784965,0.1796796288437931,0.1018370980182745,고의적 자해(자살) (X60-X84),남자,752,37.1,40
