region,godoksa_count_2024,excess_2024_vs_expected,godoksa_per_100k_male_40_64_pop_proxy_2024,male_40_64_single_household_rate_pct_2024,basic_livelihood_male_40_64_rate_per_1000_2024,business_closure_male_40_64_approx_rate_per_1000_2024,husband_divorce_rate_40_64_mean_2025,depression_std_rate_2025,structural_isolation_index,event_stress_index,composite_vulnerability_index,z_godoksa_rate_proxy,z_excess,z_count,analytic_type
부산,367,-9.96248856358642,57.55354533306282,15.737993448078615,61.91789183611225,26.070815105981005,5.5200000000000005,5.5,0.2274265728491454,-0.4924827224037562,-0.1325280747773053,2.128294308165669,-0.2105018238964499,0.5721615862660693,accumulated_poverty_neglect
광주,119,-22.21134492223237,42.48854993480341,17.862686257884704,59.99454660121862,27.547933363191238,5.5200000000000005,3.4,-0.1081483995310142,-0.2605386047914397,-0.1843435021612269,0.6087662857371938,-0.46931332342126236,-0.4698398166271263,accumulated_poverty_neglect
인천,260,-36.783165599268045,41.70813687927666,15.710653082868143,46.06984550138255,28.99357176754024,6.4,6.4,0.0566637658669853,0.549744765895334,0.3032042658811597,0.5300500647499017,-0.7772077626901359,0.12258840034037599,event_stress_watch
충북,128,10.722781335773108,38.97554948794976,19.011542248668995,36.98414250629983,26.724133600077423,6.6,5.9,0.2257887035948339,0.3259509912092754,0.2758698474020547,0.25442813423569216,0.2265663859001191,-0.43202524958664745,event_stress_watch
충남,171,-59.96431838975295,38.2122136840952,19.222307725765315,31.736249049211697,26.78206906455444,6.7,7.0,0.4583279575826074,0.4013303801225411,0.4298291688525743,0.17743440713412306,-1.26701258517745,-0.2513556515043595,event_stress_watch
제주,48,15.688929551692588,33.95793139868522,17.59586811975206,42.77991899330198,34.707835717072854,7.779999999999999,3.7,-0.5469429588908858,2.3617184110373546,0.9073877260732344,-0.2516730022679679,0.3314983264006179,-0.7681547343909041,event_stress_watch
대구,229,79.41171088746569,48.402544970970126,15.572726226315137,57.82307523016724,24.93682207718365,5.4,6.0,0.238934884431147,-0.750086193391272,-0.2555756544800625,1.2052803200525655,1.6779251362604648,-0.007661775021273455,metropolitan_excess_growth
서울,784,100.68069533394328,45.0763313969572,15.369936595269875,45.15682484588033,32.57368644297081,4.58,7.0,0.1582126894551333,-0.0944226305826584,0.0318950294362374,0.8697823925272392,2.1273269087024507,2.3242365258082573,metropolitan_excess_growth
경기,894,82.63311985361395,31.598111943570224,15.086507944064332,27.16695389618163,31.035778653836218,5.94,6.6,-0.5238996065193202,0.5655241794223134,0.0208122864514965,-0.489695762655497,1.745991710044964,2.78641456741411,metropolitan_excess_growth
대전,107,-36.60475754803292,37.917931397223775,16.54178616533653,45.62554829338842,27.830698525990364,5.8,6.4,0.1905343182725865,-0.0305476325565435,0.0799933428580214,0.14775167776155876,-0.7734381001260983,-0.5202592393477649,mixed_baseline
경남,237,-32.25892040256173,34.02333834710965,17.660265977994662,42.35403169851375,24.534846583176265,6.4,5.0,-0.1417680837040284,-0.1503854190204756,-0.146076751362252,-0.2450757423043876,-0.6816129863867152,0.02595117345915221,mixed_baseline
전남,112,-24.42451967063127,29.689554403102157,18.731988145900097,44.78351179339356,24.39447539237032,6.62,4.4,-0.0717901239201671,-0.0266065772210003,-0.0491983505705837,-0.682202072049622,-0.5160764708182237,-0.4992511465474988,mixed_baseline
울산,68,-2.605672461116185,28.217998554466533,15.856855305342282,30.45883961614476,21.94571843460239,5.8,6.6,-0.2953759557537669,-0.95463513049393,-0.6250055431238485,-0.8306302852323953,-0.05505640503784481,-0.68412236318984,mixed_baseline
세종,9,-5.360475754803293,11.602588517251,12.156934413075216,16.604593344688098,24.172059410939585,4.68,5.5,-1.6811909916775665,-1.3474038851460182,-1.5142974384117922,-2.5065405983948823,-0.11326386134716743,-0.9320178582329792,mixed_baseline
강원,133,15.722781335773108,42.841105624704106,19.536510505593448,42.274185730723055,26.74992192935002,6.2,6.9,0.7796238607983189,0.0648720475174307,0.4222479541578748,0.6443267513137455,0.3322135957076406,-0.4110171567863814,structural_isolation_watch
경북,162,0.4446477584629633,30.40433569099622,18.77561569461273,46.75698858455486,24.074791115818147,6.48,5.4,0.3037323865640022,-0.1695998415454956,0.0670662725092532,-0.6101057873744847,0.009395159005755846,-0.2891702185448384,structural_isolation_watch
전북,96,-75.12900274473924,27.032641675147524,18.09666406140657,57.25288234782286,26.384984635013783,6.2,6.2,0.7298709805819897,0.007567861948355,0.3687194212651724,-0.9501910913984369,-1.587433903120665,-0.5664770435083502,structural_isolation_watch
