region,year,godoksa_count,godoksa_share_pct,source_id,male_40_64_suicide_deaths,male_40_64_population_est_from_suicide,male_40_64_suicide_rate,region_raw
전북,2020,143,4.3,src_mohw_2025_godoksa,176.0,363937.34935474815,48.35997193254378,전라북도
전북,2021,106,3.1,src_mohw_2025_godoksa,197.0,362853.9324442728,54.29181893467707,전라북도
전북,2022,102,2.9,src_mohw_2025_godoksa,171.0,361642.6686020269,47.28424349400501,전라북도
전북,2023,126,3.4,src_mohw_2025_godoksa,144.0,359488.639266472,40.05689868081189,전라북도
전북,2024,96,2.5,src_mohw_2025_godoksa,209.0,355159.3127857304,58.84683083788117,전라북도
전남,2020,114,3.5,src_mohw_2025_godoksa,189.0,383596.76625944703,49.270488341960935,전라남도
전남,2021,124,3.7,src_mohw_2025_godoksa,201.0,384238.355448768,52.311279483081215,전라남도
전남,2022,100,2.8,src_mohw_2025_godoksa,162.0,384455.165335527,42.13755324593367,전라남도
전남,2023,120,3.3,src_mohw_2025_godoksa,180.0,382153.3194731865,47.101514190204384,전라남도
전남,2024,112,2.8,src_mohw_2025_godoksa,224.0,377204.5674922657,59.38422259549998,전라남도
경북,2020,135,4.1,src_mohw_2025_godoksa,268.0,550520.4700027547,48.68120525993501,경상북도
경북,2021,180,5.3,src_mohw_2025_godoksa,250.0,550823.6898504621,45.38657370888861,경상북도
경북,2022,175,4.9,src_mohw_2025_godoksa,252.0,550081.2394409492,45.811415102269095,경상북도
경북,2023,186,5.1,src_mohw_2025_godoksa,288.0,540822.7347257558,53.25219919721776,경상북도
경북,2024,162,4.1,src_mohw_2025_godoksa,325.0,532923.503593172,60.98436226001049,경상북도
경남,2020,225,6.9,src_mohw_2025_godoksa,327.0,701954.0424327924,46.584246294344574,경상남도
경남,2021,203,6.0,src_mohw_2025_godoksa,317.0,705035.6850999292,44.96226314488884,경상남도
경남,2022,257,7.2,src_mohw_2025_godoksa,334.0,705953.3005197376,47.31191139047047,경상남도
경남,2023,235,6.4,src_mohw_2025_godoksa,328.0,703211.3059610499,46.6431636152004,경상남도
경남,2024,237,6.0,src_mohw_2025_godoksa,333.0,696525.5711748555,47.80872573541221,경상남도
제주,2020,27,0.8,src_mohw_2025_godoksa,78.0,138055.25603030602,56.49911654423165,제주도
제주,2021,44,1.3,src_mohw_2025_godoksa,79.0,139590.35714560622,56.594167115422856,제주도
제주,2022,53,1.5,src_mohw_2025_godoksa,68.0,141265.20132518062,48.13641247958138,제주도
제주,2023,51,1.4,src_mohw_2025_godoksa,79.0,142084.38576214347,55.60076117881808,제주도
제주,2024,48,1.2,src_mohw_2025_godoksa,103.0,141358.50847907152,72.8643794478416,제주도
