age_band,depression_high_share_change_2022_2024,self_esteem_low_share_change_2022_2024,problem_drinking_share_change_2022_2024,high_risk_drinking_share_change_2022_2024,low_income_share_change_2022_2024,psych_any_share_change_2022_2024,compound_psych_alcohol_share_change_2022_2024,compound_psych_low_income_share_change_2022_2024,triple_psych_alcohol_low_income_share_change_2022_2024,suicide_rate_change_2022_2024,suicide_death_change_2022_2024
40 - 44세,0.041920652811664155,0.06045537556166497,0.03518867127647907,0.04660767930244045,0.030594616163537328,0.04858312688255134,0.009842528205518189,-0.0033382504318295314,6.67405062806381e-05,10.4,201.0
45 - 49세,0.00186089154556357,-0.04050262910002736,0.03193275175358257,-0.0019527575732211366,-0.06347418138499442,-0.03849889641927762,-0.01918915322288932,-0.02617411597782999,-0.011836743166790186,13.0,201.0
50 - 54세,-0.0077813660476726,-0.014963226067530727,-0.034619846789733066,-0.04093368913006726,-0.033751625634379834,-0.03345148874630963,-0.056347082384252345,-0.036043670431283495,-0.004025884673892678,13.5,294.0
55 - 59세,-0.01181668355629828,0.015015485933354944,-0.011846685784599464,0.040388203018209515,-0.03238839042670169,0.00800687392847621,0.012265349479143206,-0.001998742103504522,-0.015911586725119314,11.1,259.0
60 - 64세,0.016922671930055283,0.07229816834079228,0.037374844674673446,0.022947473344184066,-0.014179815762829229,0.04243327858994739,0.011027238021516297,-0.011159254981481015,-0.002777049237410338,10.5,229.0
