outcome,predictor,n,pearson_r,pearson_p,spearman_rho,spearman_p
godoksa_count_2024,business_closure_male_40_64_approx_rate_per_1000_2024,17,0.4825155641847031,0.0497991340088923,0.2941176470588235,0.2518444167527924
godoksa_per_100k_male_40_64_pop_proxy_2024,basic_livelihood_male_40_64_rate_per_1000_2024,17,0.6761131155104545,0.0028854938187512,0.4779411764705882,0.0523285418908656
godoksa_per_100k_male_40_64_pop_proxy_2024,structural_isolation_index,17,0.5962622300308908,0.0115284291591655,0.3872549019607844,0.1246063935084049
godoksa_per_100k_male_40_64_pop_proxy_2024,male_40_64_single_household_rate_pct_2024,17,0.2144111423579611,0.4085893732462828,-0.0122549019607843,0.9627675753886972
excess_2024_vs_expected,business_closure_male_40_64_approx_rate_per_1000_2024,17,0.3777119947656271,0.1349807512519905,0.1617647058823529,0.5350755062766086
