source,category,label,role,year,title,posted_date,cb_idx,bc_idx,parent_seq,list_url,detail_url
NIA,smartphone_overdependence,스마트폰 과의존 실태조사,디지털 과의존·심리위험 지표,2018,2018년 스마트폰 과의존 실태조사 보고서,2019.03.28,65914,20876,20876,https://www.nia.or.kr/site/nia_kor/ex/bbs/List.do?cbIdx=65914,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=65914&bcIdx=20876&parentSeq=20876
NIA,smartphone_overdependence,스마트폰 과의존 실태조사,디지털 과의존·심리위험 지표,2017,2017년 스마트폰 과의존 실태조사,2018.04.02,65914,19592,19592,https://www.nia.or.kr/site/nia_kor/ex/bbs/List.do?cbIdx=65914,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=65914&bcIdx=19592&parentSeq=19592
NIA,smartphone_overdependence,스마트폰 과의존 실태조사,디지털 과의존·심리위험 지표,2016,2016년 인터넷 과의존 실태조사,2017.03.27,65914,18390,18390,https://www.nia.or.kr/site/nia_kor/ex/bbs/List.do?cbIdx=65914,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=65914&bcIdx=18390&parentSeq=18390
NIA,cyber_violence,사이버폭력 실태조사,온라인 피해·정서위험 지표,2025,2025년 사이버폭력 실태조사,2026.03.30,68302,29190,29190,https://www.nia.or.kr/site/nia_kor/ex/bbs/List.do?cbIdx=68302,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=68302&bcIdx=29190&parentSeq=29190
NIA,cyber_violence,사이버폭력 실태조사,온라인 피해·정서위험 지표,2024,2024년 사이버폭력 실태조사,2025.03.28,68302,27840,27840,https://www.nia.or.kr/site/nia_kor/ex/bbs/List.do?cbIdx=68302,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=68302&bcIdx=27840&parentSeq=27840
NIA,cyber_violence,사이버폭력 실태조사,온라인 피해·정서위험 지표,2023,2023년 사이버폭력 실태조사,2024.03.26,68302,26483,26483,https://www.nia.or.kr/site/nia_kor/ex/bbs/List.do?cbIdx=68302,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=68302&bcIdx=26483&parentSeq=26483
NIA,cyber_violence,사이버폭력 실태조사,온라인 피해·정서위험 지표,2022,2022년 사이버폭력 실태조사 보고서,2023.03.23,68302,25350,25350,https://www.nia.or.kr/site/nia_kor/ex/bbs/List.do?cbIdx=68302,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=68302&bcIdx=25350&parentSeq=25350
NIA,cyber_violence,사이버폭력 실태조사,온라인 피해·정서위험 지표,2021,2021년 사이버폭력 실태조사 보고서,2022.04.07,68302,24353,24353,https://www.nia.or.kr/site/nia_kor/ex/bbs/List.do?cbIdx=68302,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=68302&bcIdx=24353&parentSeq=24353
NIA,cyber_violence,사이버폭력 실태조사,온라인 피해·정서위험 지표,2020,2020년 사이버폭력 실태조사 보고서,2021.03.24,68302,23180,23180,https://www.nia.or.kr/site/nia_kor/ex/bbs/List.do?cbIdx=68302,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=68302&bcIdx=23180&parentSeq=23180
NIA,cyber_violence,사이버폭력 실태조사,온라인 피해·정서위험 지표,2019,2019 사이버폭력 실태조사 보고서,2020.03.09,68302,21848,21848,https://www.nia.or.kr/site/nia_kor/ex/bbs/List.do?cbIdx=68302,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=68302&bcIdx=21848&parentSeq=21848
NIA,cyber_violence,사이버폭력 실태조사,온라인 피해·정서위험 지표,2015,2015년 사이버폭력 실태조사 결과보고서,2016.05.04,68302,16858,16858,https://www.nia.or.kr/site/nia_kor/ex/bbs/List.do?cbIdx=68302,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=68302&bcIdx=16858&parentSeq=16858
NIA,cyber_violence,사이버폭력 실태조사,온라인 피해·정서위험 지표,2014,2014년 정보문화실태조사,2015.10.02,68302,15869,15869,https://www.nia.or.kr/site/nia_kor/ex/bbs/List.do?cbIdx=68302,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=68302&bcIdx=15869&parentSeq=15869
NIA,cyber_violence,사이버폭력 실태조사,온라인 피해·정서위험 지표,2013,2013년 정보문화실태조사,2014.08.12,68302,13679,13679,https://www.nia.or.kr/site/nia_kor/ex/bbs/List.do?cbIdx=68302,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=68302&bcIdx=13679&parentSeq=13679
NIA,internet_use,인터넷이용실태조사,기본 인터넷·디지털 이용 맥락 지표,2025,2025년 인터넷이용실태조사 통계표,2026.03.31,99870,29199,29199,https://www.nia.or.kr/site/nia_kor/ex/bbs/List.do?cbIdx=99870,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99870&bcIdx=29199&parentSeq=29199
NIA,internet_use,인터넷이용실태조사,기본 인터넷·디지털 이용 맥락 지표,2025,2025년 인터넷이용실태조사 최종보고서,2026.03.31,99870,29198,29198,https://www.nia.or.kr/site/nia_kor/ex/bbs/List.do?cbIdx=99870,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99870&bcIdx=29198&parentSeq=29198
NIA,internet_use,인터넷이용실태조사,기본 인터넷·디지털 이용 맥락 지표,2024,2024년 인터넷이용실태조사 최종보고서 및 통계표(영문),2025.07.08,99870,28317,28317,https://www.nia.or.kr/site/nia_kor/ex/bbs/List.do?cbIdx=99870,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99870&bcIdx=28317&parentSeq=28317
NIA,internet_use,인터넷이용실태조사,기본 인터넷·디지털 이용 맥락 지표,2024,2024년 인터넷이용실태조사 통계표,2025.03.31,99870,27870,27870,https://www.nia.or.kr/site/nia_kor/ex/bbs/List.do?cbIdx=99870,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99870&bcIdx=27870&parentSeq=27870
NIA,internet_use,인터넷이용실태조사,기본 인터넷·디지털 이용 맥락 지표,2024,2024년 인터넷이용실태조사 최종보고서,2025.03.31,99870,27869,27869,https://www.nia.or.kr/site/nia_kor/ex/bbs/List.do?cbIdx=99870,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99870&bcIdx=27869&parentSeq=27869
NIA,internet_use,인터넷이용실태조사,기본 인터넷·디지털 이용 맥락 지표,2024,2024년 인터넷이용실태조사 요약보고서,2025.03.31,99870,27858,27858,https://www.nia.or.kr/site/nia_kor/ex/bbs/List.do?cbIdx=99870,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99870&bcIdx=27858&parentSeq=27858
NIA,internet_use,인터넷이용실태조사,기본 인터넷·디지털 이용 맥락 지표,2023,"2023년 인터넷이용실태조사 통계표(국문,영문)",2024.05.16,99870,26741,26741,https://www.nia.or.kr/site/nia_kor/ex/bbs/List.do?cbIdx=99870,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99870&bcIdx=26741&parentSeq=26741
NIA,internet_use,인터넷이용실태조사,기본 인터넷·디지털 이용 맥락 지표,2023,"2023년 인터넷이용실태조사 최종보고서(국문,영문)",2024.05.07,99870,26715,26715,https://www.nia.or.kr/site/nia_kor/ex/bbs/List.do?cbIdx=99870,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99870&bcIdx=26715&parentSeq=26715
NIA,internet_use,인터넷이용실태조사,기본 인터넷·디지털 이용 맥락 지표,2023,2023년 인터넷이용실태조사 요약보고서,2024.03.29,99870,26523,26523,https://www.nia.or.kr/site/nia_kor/ex/bbs/List.do?cbIdx=99870,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99870&bcIdx=26523&parentSeq=26523
NIA,internet_use,인터넷이용실태조사,기본 인터넷·디지털 이용 맥락 지표,2022,"2022년 인터넷이용실태조사 통계표(국문, 영문)",2023.06.01,99870,25604,25604,https://www.nia.or.kr/site/nia_kor/ex/bbs/List.do?cbIdx=99870,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99870&bcIdx=25604&parentSeq=25604
