year,n,mean_compound,median_compound,sd_compound,positive_ratio,neutral_ratio,negative_ratio
2025,5250,0.0769399238095238,0.0,0.5295834794743255,0.4624761904761905,0.20304761904761906,0.3344761904761905
2026,3547,0.0026445728784888624,0.0,0.5442273908078631,0.417817874259938,0.18635466591485764,0.3958274598252044
