year,negative,neutral,positive,chi2,df,p_value,cramers_v
2025,1756,1066,2428,34.683978796396204,2,2.9408285040627948e-08,0.06279096536089648
2026,1404,661,1482,34.683978796396204,2,2.9408285040627948e-08,0.06279096536089648
