year,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
2025,1806,247,275,200,15,165,80,175,93,122,53,92,125,96,110,6,60,61,61,72,69,58,74,70,59,49,35,61,57,8,21,6,49,4,36,45,3,44,19,47,36,41
2026,1107,269,55,123,243,53,134,19,97,27,90,51,17,45,24,126,55,54,40,23,26,33,17,19,27,33,41,15,18,67,53,66,21,64,31,15,54,10,35,7,16,10
