year,bertopic_topic,n,mean_compound,negative_ratio,positive_ratio
2025,0,247,0.014505668016194333,0.4048582995951417,0.4574898785425101
2025,1,275,-0.006792363636363637,0.43636363636363634,0.4690909090909091
2025,2,200,0.1604045,0.205,0.475
2025,3,15,-0.15683333333333332,0.5333333333333333,0.4
2025,4,165,0.08687515151515152,0.37575757575757573,0.48484848484848486
2025,5,80,0.10096374999999999,0.4,0.5
2025,6,175,0.09366514285714286,0.3485714285714286,0.5428571428571428
2025,7,93,0.14663548387096775,0.3225806451612903,0.4946236559139785
2025,8,122,0.2027827868852459,0.2540983606557377,0.5983606557377049
2025,9,53,-0.01030377358490566,0.4528301886792453,0.37735849056603776
2025,10,92,0.002930434782608694,0.33695652173913043,0.41304347826086957
2025,11,125,0.050703200000000004,0.424,0.496
2025,12,96,-0.08825625,0.4791666666666667,0.4375
2025,13,110,0.16842727272727273,0.3,0.5545454545454546
2025,14,6,0.4898833333333334,0.0,0.8333333333333334
2025,15,60,0.009041666666666667,0.43333333333333335,0.43333333333333335
2025,16,61,0.21819344262295085,0.16393442622950818,0.5737704918032787
2025,17,61,-0.22284918032786885,0.5901639344262295,0.2459016393442623
2026,0,269,0.03420334572490706,0.4200743494423792,0.4944237918215613
2026,1,55,-0.08781454545454545,0.4727272727272727,0.36363636363636365
2026,2,123,0.13332845528455284,0.2032520325203252,0.4715447154471545
2026,3,243,-0.32098353909465016,0.6502057613168725,0.2139917695473251
2026,4,53,-0.014345283018867925,0.4528301886792453,0.41509433962264153
2026,5,134,-0.0302589552238806,0.47761194029850745,0.4626865671641791
2026,6,19,0.13473157894736842,0.3157894736842105,0.5789473684210527
2026,7,97,-0.07498556701030927,0.4329896907216495,0.3917525773195876
2026,8,27,0.18748888888888887,0.2222222222222222,0.5925925925925926
2026,9,90,0.12816666666666668,0.2777777777777778,0.4777777777777778
2026,10,51,-0.01440588235294118,0.35294117647058826,0.43137254901960786
2026,11,17,-0.3082235294117647,0.7058823529411765,0.23529411764705882
2026,12,45,-0.03551555555555555,0.4222222222222222,0.4
2026,13,24,0.1206125,0.2916666666666667,0.5416666666666666
2026,14,126,0.19233650793650794,0.2698412698412698,0.6031746031746031
2026,15,55,0.07035454545454545,0.41818181818181815,0.4727272727272727
2026,16,54,0.0043759259259259255,0.2962962962962963,0.24074074074074073
2026,17,40,-0.12474,0.525,0.275
