mediator,model,n,a_Grief_to_PCL,a_p,b_PCL_to_SBQ_at_mean_LGS,b_p,interaction_PCLxLGS,interaction_p,direct_Grief_to_SBQ,direct_p,index_modmed,index_ci_low,index_ci_high,indirect_low_LGS,indirect_low_ci_low,indirect_low_ci_high,indirect_mean_LGS,indirect_mean_ci_low,indirect_mean_ci_high,indirect_high_LGS,indirect_high_ci_low,indirect_high_ci_high,y_model_r2,boot_success
19-item raw score,unadjusted,157,3.705887723142179,2.1842488592243495e-21,0.06585721760101404,0.000504101010008757,-0.010416440919661887,0.008363110051472833,0.008380230972431846,0.9349569177721198,-0.03860216052301082,-0.08189059621234641,-0.009217665435538439,0.3715964090199026,0.16763185891328633,0.6460829597151292,0.24405945418790095,0.07906461214650572,0.4374776449640113,0.11652249935589927,-0.07142584754731472,0.29680188638384775,0.21086139866526166,5000
19-item raw score,age_gender_income,157,3.633035333668033,1.3322592914926165e-20,0.05953686748663425,0.0018617669672342432,-0.00988583853909262,0.012259890513575055,0.007432826789978992,0.9423057773178011,-0.03591560071546066,-0.07903076606125257,-0.005370643768010609,0.3349604234589393,0.1216700131167288,0.6041965844179201,0.21629954323485373,0.04937727386666562,0.40552492979235594,0.09763866301076808,-0.09903671942357324,0.2629664520716874,0.23471680467471312,5000
19-item raw score,extended,156,3.5797333031871075,9.998107945199802e-20,0.059089406314987304,0.001671498000784051,-0.009339448956995724,0.015591654714282395,0.016287942883838183,0.8713272139530339,-0.03343273646477369,-0.07251877693423887,-0.004801461856642213,0.32199406417654264,0.11966275166914965,0.5759992252850656,0.21152431565131463,0.0536893387526922,0.39014445842411377,0.10105456712608661,-0.07485135902785563,0.2576752310544485,0.2828119747353953,5000
20-item prorated score,unadjusted,157,3.899636707230841,2.340920021050328e-21,0.06236363520053483,0.0005216403383137861,-0.009881973098770805,0.008463620642502376,0.009249994806797033,0.9282069519440639,-0.03853610503583433,-0.08189177207004628,-0.008149072362737885,0.3705142363700135,0.16066779124764882,0.6516682446018768,0.24319552102435904,0.07809513040611064,0.4352625406861566,0.11587680567870451,-0.0749778350166395,0.28634772527663044,0.2104972772635466,5000
20-item prorated score,age_gender_income,157,3.82368749553352,1.4268749563448892e-20,0.056394963785362795,0.0019025712513456312,-0.009379924337788961,0.012369966199496069,0.008097037321292223,0.9371392733608904,-0.035865899399454185,-0.07901727687021029,-0.005974184144292533,0.33413339081458304,0.12431695832857492,0.6101705408842865,0.21563671783715743,0.04971892946023322,0.39567907065770885,0.09714004485973173,-0.0983129868720973,0.2555189482790961,0.23449766387455517,5000
20-item prorated score,extended,156,3.7675392865222572,1.0711952764290576e-19,0.055978586997310426,0.0017056673967132132,-0.008862019719609883,0.015716929242827804,0.016917258565032758,0.866354357024102,-0.03338800745156519,-0.07243420453508786,-0.004234273212912654,0.32122347889597636,0.11463679958265334,0.5799575377607165,0.21090152571637102,0.053818891516703604,0.3883410810354149,0.10057957253676572,-0.07448361119473842,0.25885785228601316,0.28261829824475493,5000
