bertopic_topic,topic_label,n_2025,n_2026,ratio_2025,ratio_2026,n_change,ratio_change,mean_2025,mean_2026,neg_2025,neg_2026,mean_change,neg_change
3,middle_east_conflict_gaza,15.0,243.0,0.003121748178980229,0.07297297297297298,228.0,0.06985122479399275,-0.15683333333333332,-0.32098353909465016,0.5333333333333333,0.6502057613168725,-0.16415020576131684,0.11687242798353914
14,language_identity_politics,6.0,126.0,0.0012486992715920915,0.03783783783783784,120.0,0.03658913856624575,0.4898833333333334,0.19233650793650794,0.0,0.2698412698412698,-0.2975468253968254,0.2698412698412698
0,international_security_north_china_russia,247.0,269.0,0.051404786680541104,0.08078078078078078,22.0,0.02937599410023968,0.014505668016194333,0.03420334572490706,0.4048582995951417,0.4200743494423792,0.019697677708712728,0.015216049847237512
5,japan_nationalism_historical_politics,80.0,134.0,0.01664932362122789,0.04024024024024024,54.0,0.023590916619012352,0.10096374999999999,-0.0302589552238806,0.4,0.47761194029850745,-0.13122270522388058,0.07761194029850743
25,diaspora_overseas_korean_identity,35.0,41.0,0.007284079084287201,0.012312312312312312,6.0,0.005028233228025111,-0.17326285714285714,-0.02771707317073171,0.5428571428571428,0.4878048780487805,0.14554578397212542,-0.05505226480836234
23,democracy_dictatorship_discourse,59.0,27.0,0.012278876170655567,0.008108108108108109,-32.0,-0.004170768062547459,0.3239220338983051,0.11723703703703704,0.2033898305084746,0.4074074074074074,-0.20668499686126807,0.2040175768989328
12,gender_military_service,96.0,45.0,0.019979188345473464,0.013513513513513514,-51.0,-0.00646567483195995,-0.08825625,-0.03551555555555555,0.4791666666666667,0.4222222222222222,0.052740694444444444,-0.056944444444444464
22,housing_economy_policy,70.0,19.0,0.014568158168574402,0.005705705705705706,-51.0,-0.008862452462868696,0.23050428571428572,-0.002615789473684203,0.2571428571428571,0.47368421052631576,-0.23312007518796993,0.21654135338345865
8,election_voting_candidates,122.0,27.0,0.02539021852237253,0.008108108108108109,-95.0,-0.01728211041426442,0.2027827868852459,0.18748888888888887,0.2540983606557377,0.2222222222222222,-0.015293897996357025,-0.0318761384335155
4,lee_jae_myung_electoral_politics,165.0,53.0,0.03433922996878252,0.015915915915915915,-112.0,-0.018423314052866603,0.08687515151515152,-0.014345283018867925,0.37575757575757573,0.4528301886792453,-0.10122043453401944,0.07707261292166956
11,courts_trials_judiciary,125.0,17.0,0.026014568158168574,0.005105105105105105,-108.0,-0.02090946305306347,0.050703200000000004,-0.3082235294117647,0.424,0.7058823529411765,-0.3589267294117647,0.28188235294117653
1,yoon_martial_law_legal_investigation,275.0,55.0,0.05723204994797086,0.016516516516516516,-220.0,-0.04071553343145434,-0.006792363636363637,-0.08781454545454545,0.43636363636363634,0.4727272727272727,-0.08102218181818181,0.036363636363636376
