,iat_young_good,explicit_young_preference,explicit_thermo_diff,political_liberal,age,year,feel,choosetobe,matoo
iat_young_good,1.0,0.12007923537810494,0.1101847016713183,-0.034025472682722026,0.11941694102872868,-0.07300103139718427,0.07201663843993332,0.04874833850235849,-0.014361261601200681
explicit_young_preference,0.12007923537810494,1.0,0.22240155347978957,0.036778521076204516,-0.015823581197866823,0.0014609537122806631,-0.06313179187369392,-0.07741937778322876,-0.039398810425899974
explicit_thermo_diff,0.1101847016713183,0.22240155347978957,1.0,-0.01176190688899849,0.12048824221338254,-0.17014021583068237,0.050970844173707584,0.02874958269160236,-0.03182339147109092
political_liberal,-0.034025472682722026,0.036778521076204516,-0.01176190688899849,1.0,-0.06308800849403919,0.04828180642545993,-0.05937912027114641,-0.04939004614362739,0.030616807950293288
age,0.11941694102872868,-0.015823581197866823,0.12048824221338254,-0.06308800849403919,1.0,0.023941596120692923,0.7263362171929738,0.4107646162636431,0.11585943700845037
year,-0.07300103139718427,0.0014609537122806631,-0.17014021583068237,0.04828180642545993,0.023941596120692923,1.0,0.12046866418023656,0.08394771679496155,0.11256929191311936
feel,0.07201663843993332,-0.06313179187369392,0.050970844173707584,-0.05937912027114641,0.7263362171929738,0.12046866418023656,1.0,0.3780987681024784,0.08886056447950766
choosetobe,0.04874833850235849,-0.07741937778322876,0.02874958269160236,-0.04939004614362739,0.4107646162636431,0.08394771679496155,0.3780987681024784,1.0,0.08366021076873953
matoo,-0.014361261601200681,-0.039398810425899974,-0.03182339147109092,0.030616807950293288,0.11585943700845037,0.11256929191311936,0.08886056447950766,0.08366021076873953,1.0
