political_liberal,n_iat,iat_mean,explicit_thermo_mean
1.0,40,0.5955194233251058,-0.8888888888888888
2.0,283,0.5078956715931328,-0.5225225225225225
3.0,691,0.5272379474014977,-0.9409547738693468
4.0,1726,0.49398649011384815,-1.1752380952380952
5.0,1359,0.49924053380222394,-0.9512195121951219
6.0,740,0.48534201102082875,-1.0369967355821545
7.0,107,0.44507819391314407,-0.6742424242424242
