year,n_iat,iat_mean,iat_sd,explicit_pref_mean,explicit_thermo_mean,political_mean,age_mean,iat_se
2006.0,605,0.6500648741149183,0.37288246957304194,4.982456140350878,1.4876160990712075,,29.934065934065934,0.015159828174242159
2007.0,212,0.4863885563654685,0.43576901122662065,5.346938775510204,1.7989690721649485,,23.891304347826086,0.029928738566725607
2008.0,236,0.4821285509289403,0.3851312309517243,5.407725321888412,-0.17073170731707318,4.17816091954023,25.417721518987342,0.025069907771154577
2009.0,379,0.48915790928305475,0.40952385809061465,5.352,-1.0260047281323876,4.133819951338199,25.04,0.02103582760738836
2010.0,344,0.5420974047317592,0.3586303967412448,5.49685534591195,-0.7415730337078652,4.279661016949152,25.483516483516482,0.019336055117828894
2011.0,1138,0.47483854290765903,0.3782838924684643,5.500809061488673,-1.2612481857764877,4.386844166014096,22.29222720478326,0.011213642805734367
2012.0,920,0.45598796098448013,0.3743651142171423,5.470705064548163,-1.2075812274368232,4.4504761904761905,23.44605621033545,0.012342452311768358
2013.0,999,0.5072888943525077,0.37889981472090306,5.4181478016838165,-1.001751313485114,4.281425891181989,23.584684684684685,0.011987859624382853
2014.0,791,0.4585572715958933,0.38206983697969227,5.3223744292237445,-0.9705372616984402,4.489078822412155,24.375561545372864,0.013584839486750275
2015.0,311,0.4797150639144168,0.3751324144477901,5.385786802030457,-0.5498783454987834,4.4520547945205475,26.153846153846153,0.021271807676616485
2016.0,447,0.5101102924517362,0.38576737408395756,5.361702127659575,-0.9968,4.344481605351171,29.177316293929714,0.018246170687566288
2017.0,441,0.49380315045721795,0.36905295806477617,5.329861111111111,-0.5555555555555556,4.475746268656716,28.80500894454383,0.01757395038403696
