variable,label_ko,coef_with_year_age_FE,n_cells,r2
problem_drinking_wm,문제음주 비율,-19.747101971788453,30,0.9089587996367012
self_esteem_low_wm,낮은 자존감 비율,-18.339882956790568,30,0.9050549621120094
AUDIT_wm,AUDIT 평균,-1.3140890993867331,30,0.9046710767108683
depression_high_wm,우울 고위험 비율,-8.807165990680003,30,0.9004931794430651
h_din_wm,가구소득 평균,0.0008710704984867161,30,0.9003745476760404
low_income_wm,저소득 비율,0.8822648716878536,30,0.8997532769202188
