survey_year,age_band,n,unique_people,weight_sum,age_wm,h_din_wm,CES_D_wm,SELF_ESTEEM_wm,AUDIT_wm,low_income_wm,high_income_wm,depression_high_wm,self_esteem_low_wm,problem_drinking_wm,high_risk_drinking_wm,p03_5_wm,p03_6_wm,p03_7_wm,p03_9_wm,p03_10_wm,p05_aq1_wm,p05_aq2_wm,p05_aq3_wm,p05_7aq1_mod_wm,p05_12aq1_wm,p03_composite_wm,p05_aq_composite_wm
2019,40 - 44세,405,405,397.12519554813383,41.868317068196106,6695.016528501687,12.686525417779823,32.64445108140873,8.435300400432814,0.15204918041454835,0.0933052824648377,0.12099115230427501,0.12120890239959224,0.5397111431203796,0.11370955646016692,3.7061856944433207,3.1680433618124977,3.6725478424756206,3.609896088418809,3.8538318260234528,5.819750617263368,4.754841184705181,4.369330965102807,0.004260243057582424,6.757849855545769,0.08352649172051574,-0.018101662392569978
2019,45 - 49세,496,496,441.7613359104787,47.079265935437626,7068.404410347228,13.385883573847545,31.992806493205922,8.231924704145912,0.1732970396773261,0.10294359080826664,0.17217168586831222,0.1609682487123497,0.5373293389591021,0.08284406006546374,3.615265957924957,3.30251994924962,3.742951682215357,3.647533592077214,3.8218445477563074,5.7468688865453075,4.6894241622676684,4.917459551623287,0.01248249003627829,6.764562430574728,0.11026921876665688,0.029354673636519536
2019,50 - 54세,436,436,425.8002531997199,51.94460790700793,7641.874832530066,13.301489625669495,32.08574976087554,8.42495127436602,0.1675078829490067,0.15088366842838397,0.17268515316483654,0.10556135585429495,0.5512161955604677,0.10784766081042438,3.661872874946026,3.243204530110963,3.761558583584529,3.605485848689081,3.736626902665086,5.8355202866110645,4.931899000527675,5.321224256846507,0.009489135303722994,6.740704560467214,0.07574321653767162,0.12902255614489638
2019,55 - 59세,409,409,416.5599336359487,57.05154609978243,7598.614023842478,13.707835779629331,31.243958136209585,8.74520725939786,0.2065398426758469,0.17274206994910787,0.22143103877041528,0.2166845424465885,0.5405803443645286,0.15496529336012982,3.5021214903885385,3.0307812804620244,3.6243179101544847,3.4497202252019608,3.676212748466624,5.655579659323369,5.092826182283757,5.5020377965504865,0.03429828732170178,6.465983714671223,-0.11030396807056066,0.13407163834667496
2019,60 - 64세,411,411,381.23184924999623,61.89664553261326,6130.79048761176,13.458973843067362,30.90315338248633,8.168863554222344,0.31560019280940455,0.11108348790708608,0.18952090738290386,0.21871189050680143,0.499580062848561,0.10570269072940945,3.4098009876770794,3.085522917575982,3.6234488292337876,3.4376068855589152,3.714904831977097,5.467363030667198,4.837258152942806,5.2368749274878335,0.005488323700572928,6.299276822853394,-0.11224174464163676,0.02986947726561084
2020,40 - 44세,369,369,386.8816679492051,41.98309691432296,7083.974323455206,13.306928805128093,31.955738377584044,8.819118929643935,0.16893575872255917,0.1056516977350466,0.1441151145507263,0.16417880879226124,0.5737964087591053,0.16757945276445058,3.6768879409198174,3.25578450330359,3.714267267998278,3.5653644385284675,3.7588445026303634,5.921104963409453,4.835832098071385,4.708843182084279,0.017674389945152656,6.734376990560042,0.06598407281231551,0.056517712145555225
2020,45 - 49세,470,470,401.1566858827633,47.11727275485369,7329.814675349813,13.360029966354631,32.02455228517319,7.643114690864608,0.17029364307966827,0.13751111612457553,0.16532486425292575,0.1633971613956343,0.46788500034069275,0.10467471270351687,3.6108035167631685,3.2606198666515103,3.686429356057449,3.5813689409195892,3.741310146787622,5.85143157843806,4.853442526206783,5.057426524778199,0.0034470442956113546,6.759164344798849,0.041340229659339825,0.08895047599477997
2020,50 - 54세,465,465,438.7801987753212,51.97547577794561,7578.540144676219,13.26254424258764,31.694724234357793,8.871532167691957,0.15816889115443583,0.1347075837354113,0.1562443075712193,0.20193945026781093,0.5747502218879414,0.15474296622667771,3.5293614366324957,3.22809937658852,3.7386348689181355,3.605344667933151,3.7563879812008225,5.814817063383462,4.805284463153982,5.100568882669254,0.005521740762713045,6.684911643730153,0.03879029985254029,0.0810598832827594
2020,55 - 59세,378,378,387.32453031905936,57.043239769602096,7382.359841470656,13.406904093904181,31.3511609583334,8.132141878475736,0.18058687450852667,0.16248406870803775,0.19426432294699855,0.20014818256502886,0.5014409334353258,0.10560167671067526,3.495183794472255,3.1586508071239003,3.6401831794045356,3.4657869817974176,3.615981328827238,5.628530976212047,4.875361249294545,5.253625606450912,0.009336608293514487,6.593249727204186,-0.09347193267459535,0.07027838016151713
2020,60 - 64세,420,420,393.255123096278,61.84991622959394,6201.2888708102655,13.811001996000313,30.69496719775044,8.293023577603128,0.2994549869041217,0.10628698445510819,0.1964282357763904,0.2811756185124731,0.49108430652352697,0.14580428281209454,3.280192106965546,3.0075613453712706,3.614995019934699,3.4062140135310193,3.6321490788413784,5.419666457068558,4.826371224236782,5.3404493008048854,0.023490261889545023,6.367169618074972,-0.199368674198719,0.03192737470162223
2021,40 - 44세,455,455,510.3149395494931,41.99753493055947,7208.105297290583,13.042939870429715,32.66444199352857,8.136377114247775,0.14297140051860957,0.0856954187352866,0.148199124662675,0.12713999671869566,0.4928595326467,0.12228259262591996,3.665961546239889,3.251240477452076,3.6893137523420507,3.6217360189837087,3.810968329715275,6.083308141454073,4.856202524710653,4.766958349386973,0.003342455594310999,6.880413365164584,0.08644576960639386,0.1003333341071252
