year,n_regions,digital_raw_mean_mean,digital_raw_mean_sd,digital_index_within_year_z_mean,digital_index_within_year_z_sd,stress_std_mean,stress_std_sd,depression_std_mean,depression_std_sd,depression_counseling_std_mean,depression_counseling_std_sd
2021,17,91.52549019607844,3.8915065886378466,-5.093964465927188e-16,1.075620481007219,26.16470588235294,1.742104035523779,6.7823529411764705,0.904319698805162,,
2022,17,93.12745098039217,3.3292106858607915,1.3322676295501878e-15,0.9411748102594126,24.023529411764706,1.772896433722478,6.852941176470588,1.0192629978683272,25.211764705882356,4.170114259966563
2023,17,93.73921568627452,2.50014542060717,-8.620555250030627e-16,1.0699208182715942,25.841176470588238,1.5556585516789234,7.588235294117647,1.108423628932761,27.970588235294116,3.7352651689475724
