year,코드,시도,시군구,지역,CHS_No,주관적 건강수준인지율_조율,주관적 건강수준인지율_표준화율,주관적 건강인지율_남성노인_조율,주관적 건강인지율_남성노인_표준화,주관적 건강인지율_여성노인_조율,주관적 건강인지율_여성노인_표준화,스트레스인지율_조율,스트레스인지율_표준화율,우울감경험률_조율,우울감경험률_표준화율,스트레스인지율_청소년,우울감경험률_청소년,스트레스로인한정신상담률_조율,스트레스로인한정신상담률_표준화율,우울증상으로인한정신상담률_조율,우울증상으로인한정신상담률_표준화율,기분상태및우울_40세_1차검진_특이소견없음,기분상태및우울_40세_1차검진_2차추가진단필요,기분상태및우울_40세_2차검진_특이소견없음,기분상태및우울_40세_2차검진_경계상태,기분상태및우울_40세_2차검진_우울증의심,기분상태및우울_66세_1차검진_특이소견없음,기분상태및우울_66세_1차검진_2차추가진단필요,기분상태및우울_66세_2차검진_특이소견없음,기분상태및우울_66세_2차검진_경계상태,기분상태및우울_66세_2차검진_우울증의심,지역안전등급_자살,행복감지수_조율,행복감지수_표준화율,고의적자해(자살)_사망자수_전체,고의적자해(자살)_사망률_전체,고의적자해(자살)_표준화사망률_전체,고의적자해(자살)_사망자수_남자,고의적자해(자살)_사망률_남자,고의적자해(자살)_표준화사망률_남자,고의적자해(자살)_사망자수_여자,고의적자해(자살)_사망률_여자,고의적자해(자살)_표준화사망률_여자,자살생각률_조율,자살생각률_표준화율,자살시도율_조율,자살시도율_표준화율,지역안정등급_자살,스트레스 인지율_조율,스트레스 인지율_표준화율,우울감 경험률_조율,우울감 경험률_표준화율,삶의 질 지수(EQ-5D)_조율,삶의 질 지수(EQ-5D)_표준화율,스트레스로 인한 정신상담률_조율,스트레스로 인한 정신상담률_표준화율,스트레스 인지율_청소년,우울감 경험률_청소년,우울증상으로 인한 정신상담률_조율,우울증상으로 인한 정신상담률_표준화율,행복감 지수_조율,행복감 지수_표준화율
2016,35,전라북도,전라북도,전라북도,L  ,38.7,43.7,27.6,28.7,14.3,15.5,23.1,24.3,6.2,5.9,38.7,27.5,8.0,7.5,20.9,21.1,16109.0,670.0,142.0,22.0,50.0,14562.0,1479.0,479.0,46.0,50.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,36,전라남도,전라남도,전라남도,M  ,39.3,45.9,22.9,23.3,12.4,13.6,24.1,25.5,4.5,4.5,36.2,23.5,6.9,6.6,19.0,19.2,14704.0,684.0,119.0,17.0,45.0,14493.0,1441.0,381.0,33.0,30.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,37,경상북도,경상북도,경상북도,N  ,35.4,40.1,23.0,23.9,11.1,11.6,23.6,25.4,6.2,5.8,36.1,22.2,7.2,6.9,13.2,12.8,21795.0,1166.0,246.0,36.0,77.0,18173.0,2212.0,664.0,52.0,57.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,38,경상남도,경상남도,경상남도,O  ,38.1,41.6,23.4,23.9,11.6,12.5,24.2,25.6,4.1,4.1,35.0,23.6,7.1,7.0,20.7,20.8,31811.0,1636.0,313.0,39.0,95.0,18251.0,2359.0,590.0,54.0,76.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,39,제주특별자치도,제주특별자치도,제주특별자치도,P  ,41.5,44.8,26.3,26.6,15.2,16.1,29.0,30.4,6.4,6.6,37.2,23.3,7.9,7.7,19.3,21.6,5320.0,332.0,92.0,12.0,43.0,2881.0,472.0,179.0,12.0,9.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,0,전국,전국,전국,   ,,,,,,,,,,,37.2,25.1,,,,,484999.0,33852.0,5522.0,864.0,2092.0,261118.0,37398.0,11365.0,1051.0,1022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,11,서울특별시,서울특별시,서울특별시,A  ,45.8,48.1,33.1,33.7,23.0,23.8,26.8,28.1,7.2,7.1,38.7,27.7,10.0,9.9,19.9,20.3,88648.0,7676.0,1084.0,190.0,468.0,47933.0,7940.0,2472.0,236.0,234.0,2.0,6.9,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,21,부산광역시,부산광역시,부산광역시,B  ,38.1,42.8,24.4,24.6,12.4,12.8,24.3,25.8,6.4,6.0,32.6,21.8,8.1,7.8,18.9,19.6,31087.0,1684.0,383.0,61.0,130.0,23581.0,3207.0,1261.0,95.0,111.0,5.0,6.8,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,22,대구광역시,대구광역시,대구광역시,C  ,38.4,41.9,22.0,22.1,13.3,13.6,23.9,25.5,4.6,4.6,33.8,21.5,6.9,6.5,23.0,23.6,22437.0,1471.0,283.0,44.0,124.0,13746.0,1920.0,739.0,53.0,70.0,4.0,6.9,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,23,인천광역시,인천광역시,인천광역시,D  ,41.1,43.3,27.5,27.6,14.8,15.7,27.6,28.6,7.5,7.2,39.5,22.8,8.2,8.4,18.9,19.7,29562.0,2291.0,326.0,42.0,137.0,12020.0,1901.0,489.0,55.0,47.0,4.0,6.9,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
