year,code,sido,sigungu,region,subjective_health_crude,subjective_health_std,stress_crude,stress_std,depression_crude,depression_std,suicide_ideation_crude,suicide_ideation_std,suicide_attempt_crude,suicide_attempt_std,eq5d_crude,eq5d_std,happiness_crude,happiness_std,stress_counseling_crude,stress_counseling_std,depression_counseling_crude,depression_counseling_std,suicide_mortality_std_total,is_national
2018,24,광주광역시,광주광역시,광주광역시,38.9,40.9,25.6,26.4,4.5,4.5,,,,,,,,,7.9,7.5,22.7,23.2,23.1,False
2018,25,대전광역시,대전광역시,대전광역시,46.1,48.0,26.5,27.9,4.7,4.7,,,,,,,,,6.7,6.8,20.5,22.3,24.5,False
2018,26,울산광역시,울산광역시,울산광역시,45.4,47.0,23.8,25.2,4.7,4.8,,,,,,,,,6.4,6.5,16.8,16.0,24.2,False
2018,29,세종특별자치시,세종특별자치시,세종특별자치시,42.1,43.6,30.9,30.1,6.3,6.1,,,,,,,,,9.6,9.0,25.7,23.0,24.5,False
2018,31,경기도,경기도,경기도,39.9,41.6,27.6,28.4,6.4,6.2,,,,,,,,,7.6,7.6,21.1,21.2,21.0,False
2018,32,강원도,강원도,강원도,40.4,45.2,25.0,27.0,5.8,5.3,,,,,,,,,7.5,7.4,18.0,18.9,26.1,False
2018,33,충청북도,충청북도,충청북도,40.6,43.7,25.5,27.1,5.8,5.7,,,,,,,,,8.2,8.2,22.2,22.0,26.7,False
2018,34,충청남도,충청남도,충청남도,37.3,40.5,26.0,26.9,7.4,6.8,,,,,,,,,7.5,7.2,17.9,18.1,29.8,False
2018,35,전라북도,전라북도,전라북도,34.9,38.1,26.4,28.7,9.5,8.7,,,,,,,,,7.9,7.6,18.3,17.8,25.8,False
2018,36,전라남도,전라남도,전라남도,38.6,43.8,23.3,25.4,4.8,4.4,,,,,,,,,5.7,5.4,15.7,16.7,23.5,False
2018,37,경상북도,경상북도,경상북도,34.3,38.8,22.6,24.5,5.3,5.3,,,,,,,,,8.8,8.9,21.0,21.0,24.3,False
2018,38,경상남도,경상남도,경상남도,35.1,38.1,23.4,25.0,5.4,5.2,,,,,,,,,8.1,8.1,23.4,23.8,24.8,False
2018,39,제주특별자치도,제주특별자치도,제주특별자치도,38.1,41.6,25.4,27.3,4.7,4.5,,,,,,,,,7.1,6.6,26.6,29.0,27.3,False
2019,0,전국,전국,전국,,,,,,,,,,,,,,,,,,,22.6,True
2019,11,서울특별시,서울특별시,서울특별시,42.0,44.5,25.8,27.2,6.5,6.5,,,,,,,7.0,7.1,11.1,10.9,26.4,25.7,18.7,False
2019,21,부산광역시,부산광역시,부산광역시,36.2,40.4,21.9,23.7,6.1,5.5,,,,,,,6.9,7.0,11.5,11.0,27.0,27.1,24.5,False
2019,22,대구광역시,대구광역시,대구광역시,38.3,41.6,23.4,25.1,5.5,5.4,,,,,,,7.1,7.1,9.4,8.4,23.8,23.0,24.9,False
2019,23,인천광역시,인천광역시,인천광역시,36.4,38.2,28.1,29.9,7.6,7.6,,,,,,,6.9,6.9,10.5,10.5,22.6,23.5,22.5,False
2019,24,광주광역시,광주광역시,광주광역시,39.5,41.3,26.7,28.1,5.5,5.4,,,,,,,7.0,7.0,8.4,8.2,18.6,16.9,21.9,False
2019,25,대전광역시,대전광역시,대전광역시,49.7,52.4,23.8,25.2,4.2,4.2,,,,,,,7.2,7.2,10.2,10.6,30.8,31.1,24.8,False
2019,26,울산광역시,울산광역시,울산광역시,41.7,43.8,22.3,23.9,5.4,5.4,,,,,,,7.0,7.1,8.5,8.5,23.5,25.1,24.8,False
2019,29,세종특별자치시,세종특별자치시,세종특별자치시,43.5,44.7,28.4,29.2,4.7,4.9,,,,,,,7.5,7.5,6.5,6.2,17.4,9.7,21.3,False
2019,31,경기도,경기도,경기도,38.7,40.8,26.5,27.7,6.7,6.5,,,,,,,7.0,7.0,8.5,8.6,21.1,21.7,21.9,False
2019,32,강원도,강원도,강원도,38.7,43.8,22.8,24.9,5.9,5.7,,,,,,,7.1,7.2,11.3,11.5,24.0,25.5,26.4,False
2019,33,충청북도,충청북도,충청북도,37.8,40.8,24.3,26.2,6.8,6.4,,,,,,,7.1,7.1,9.4,9.3,21.3,21.7,24.6,False
2019,34,충청남도,충청남도,충청남도,36.2,40.0,27.6,29.7,6.6,6.5,,,,,,,6.9,7.0,9.4,9.9,20.3,21.8,29.1,False
2019,35,전라북도,전라북도,전라북도,36.1,41.2,23.6,26.1,7.1,6.7,,,,,,,7.0,7.1,9.1,9.1,18.7,20.1,24.0,False
2019,36,전라남도,전라남도,전라남도,38.3,45.1,22.1,24.2,4.6,4.2,,,,,,,7.0,7.1,7.2,6.8,18.8,21.3,20.1,False
2019,37,경상북도,경상북도,경상북도,33.2,37.8,21.8,24.3,6.6,6.5,,,,,,,6.9,7.0,10.9,11.3,21.7,22.0,24.2,False
2019,38,경상남도,경상남도,경상남도,35.8,39.4,21.6,24.0,4.9,4.8,,,,,,,7.0,7.1,9.0,8.8,20.3,21.7,24.2,False
