year,sido,internet_use_rate,mobile_internet_use_rate,smartphone_use_rate,source_file,internet_pages,mobile_pages,smartphone_pages
2022,서울특별시,92.0,91.2,91.1,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(국문).pdf",33,45,49
2022,부산광역시,95.5,94.8,95.1,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(국문).pdf",33,45,49
2022,대구광역시,95.6,95.2,95.4,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(국문).pdf",33,45,49
2022,인천광역시,93.6,88.7,88.1,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(국문).pdf",33,45,49
2022,광주광역시,98.6,98.1,98.0,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(국문).pdf",33,45,49
2022,대전광역시,93.8,93.0,93.0,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(국문).pdf",33,45,49
2022,울산광역시,97.9,97.5,97.1,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(국문).pdf",33,45,49
2022,경기도,93.0,90.2,90.0,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(국문).pdf",33,45,49
2022,강원도,83.1,88.6,88.9,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(국문).pdf",33,45,49
2022,충청북도,93.5,92.7,92.9,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(국문).pdf",33,45,49
2022,충청남도,92.3,87.2,87.7,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(국문).pdf",33,45,49
