outcome,model,n,coef,se_cluster_region,p_cluster_norm,se_hc1,p_hc1_norm,r2
stress_std,M1_year_FE,51,-0.11931839209419937,0.33964629008055514,0.7253618585019522,0.2614542192947563,0.6481279771404787,0.25166415631342387
stress_std,M2_year_FE_controls,51,-0.15358925521395195,0.36091785977571494,0.670434447828627,0.26937005602548797,0.5685560308124993,0.41344694758686784
stress_std,M3_region_year_FE,51,0.6706629196300908,0.30256221939488587,0.026649645470710207,0.23736649626291811,0.004721689314652787,0.8052717822577338
stress_std,M4_region_year_FE_controls,51,0.6124373127982325,0.35158389791800043,0.08151931321660548,0.2743954771949133,0.025618188845783953,0.8388279084768815
depression_std,M1_year_FE,51,0.14699733514272129,0.20317575392238849,0.4693737298998654,0.17341712042433766,0.39663191425171196,0.14026747347801904
depression_std,M2_year_FE_controls,51,0.16624828129448121,0.165059095291793,0.3138364593630727,0.17618860108344736,0.3453836169632819,0.21670815929871223
depression_std,M3_region_year_FE,51,0.3659849464547015,0.23001473413581575,0.11157875466146314,0.1892729805442288,0.05315796443409726,0.7032632129270395
depression_std,M4_region_year_FE_controls,51,0.38848532104198963,0.2862251479771664,0.1746948650340013,0.22916783236534644,0.09003747731355458,0.7075739284452934
depression_counseling_std,M1_year_FE,34,-0.37052005879255345,0.8679595617882022,0.6694621337315214,0.8013807143510241,0.643828841019117,0.12214519139324265
depression_counseling_std,M2_year_FE_controls,34,0.3553373771595987,0.8419052622800589,0.6729787593553773,0.6913746014120999,0.607281487002329,0.4567037696876559
depression_counseling_std,M3_region_year_FE,34,-1.0615218164020201,1.9410210033028097,0.5844554248670797,1.351553545662919,0.4322140234898061,0.6470589604147376
depression_counseling_std,M4_region_year_FE_controls,34,-0.7748341270162129,0.9995588106306226,0.43823559306966575,0.696003418977775,0.26559594090467487,0.8105948318654608
subjective_health_std,M1_year_FE,51,-0.35949302605890554,0.5412382367981704,0.5065592521048348,0.46490673376738256,0.4393694841560388,0.07593801445703507
subjective_health_std,M2_year_FE_controls,51,-0.3384882199145358,0.5264812848564191,0.5202724710284523,0.5005108317297317,0.4988593947622925,0.3393939770413126
subjective_health_std,M3_region_year_FE,51,-0.4826938707694155,0.8099454032100171,0.5512029318117055,0.620482870776305,0.436608731470401,0.7855185445633103
subjective_health_std,M4_region_year_FE_controls,51,-0.5502773277133759,1.017639905065092,0.5886876671816041,0.7424952326360397,0.45862128752272,0.7982112977006209
