n,k,coef,robust_se,t,p_norm,r2,df_resid,model,outcome,digital_indicator,controls
51,4,0.008983203451183029,0.08276858806664271,0.1085339699639437,0.9135721355248619,0.24794786746375885,47,year_FE_no_controls,stress_std,internet_use_rate,
51,8,-0.027675815443510075,0.07971716295188591,-0.3471751178628132,0.7284597627197807,0.4099445709770041,43,year_FE_controls,stress_std,internet_use_rate,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
51,20,0.29402836328730336,0.10323733977805566,2.8480815557570445,0.004398365154498006,0.8221528245297178,31,region_year_FE_no_controls,stress_std,internet_use_rate,
51,4,-0.046555296419372595,0.0784919823481532,-0.5931216797771189,0.5530997224891652,0.2543360802971052,47,year_FE_no_controls,stress_std,mobile_internet_use_rate,
51,8,-0.045187371838439655,0.07580109986914686,-0.5961308202182454,0.5510878362989828,0.41358679361912143,43,year_FE_controls,stress_std,mobile_internet_use_rate,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
51,20,0.1412275160373074,0.06866440826454431,2.0567790447301055,0.039707484684433296,0.7908242784940437,31,region_year_FE_no_controls,stress_std,mobile_internet_use_rate,
51,4,-0.054067669455710864,0.0777392592768787,-0.6955001881757282,0.48674189330321965,0.2571948335900546,47,year_FE_no_controls,stress_std,smartphone_use_rate,
51,8,-0.049934494009721636,0.07423429744243658,-0.672660693642885,0.5011631793450424,0.4151556464710512,43,year_FE_controls,stress_std,smartphone_use_rate,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
51,20,0.14324986329159792,0.06621794876129103,2.1633086794639187,0.030517445969896365,0.7925698319373718,31,region_year_FE_no_controls,stress_std,smartphone_use_rate,
51,4,0.05569586139733729,0.04465672880059038,1.2471997589890857,0.21232426127222234,0.1524785314375795,47,year_FE_no_controls,depression_std,internet_use_rate,
51,8,0.0647609772496803,0.04535193350840221,1.427965077556886,0.1533019105177879,0.22732702794882786,43,year_FE_controls,depression_std,internet_use_rate,aged_pop_rate;elderly_living_alone_household_rate;unemployment_rate;log1p_psychiatry_specialists_count
51,20,0.12729393206628925,0.07275546103927293,1.7496134344826269,0.08018503996601242,0.6978355118392321,31,region_year_FE_no_controls,depression_std,internet_use_rate,
