year,sido,internet_use_rate,mobile_internet_use_rate,smartphone_use_rate,source_file,internet_pages,mobile_pages,smartphone_pages
2020,부산광역시,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2020_인터넷이용실태조사_2020년_인터넷이용실태조사_통계표(국문,_영문)_2020년도_인터넷이용실태조사_통계표(최종).pdf",,,
2020,대구광역시,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2020_인터넷이용실태조사_2020년_인터넷이용실태조사_통계표(국문,_영문)_2020년도_인터넷이용실태조사_통계표(최종).pdf",,,
2020,인천광역시,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2020_인터넷이용실태조사_2020년_인터넷이용실태조사_통계표(국문,_영문)_2020년도_인터넷이용실태조사_통계표(최종).pdf",,,
2020,광주광역시,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2020_인터넷이용실태조사_2020년_인터넷이용실태조사_통계표(국문,_영문)_2020년도_인터넷이용실태조사_통계표(최종).pdf",,,
2020,대전광역시,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2020_인터넷이용실태조사_2020년_인터넷이용실태조사_통계표(국문,_영문)_2020년도_인터넷이용실태조사_통계표(최종).pdf",,,
2020,울산광역시,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2020_인터넷이용실태조사_2020년_인터넷이용실태조사_통계표(국문,_영문)_2020년도_인터넷이용실태조사_통계표(최종).pdf",,,
2020,경기도,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2020_인터넷이용실태조사_2020년_인터넷이용실태조사_통계표(국문,_영문)_2020년도_인터넷이용실태조사_통계표(최종).pdf",,,
2020,강원도,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2020_인터넷이용실태조사_2020년_인터넷이용실태조사_통계표(국문,_영문)_2020년도_인터넷이용실태조사_통계표(최종).pdf",,,
2020,충청북도,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2020_인터넷이용실태조사_2020년_인터넷이용실태조사_통계표(국문,_영문)_2020년도_인터넷이용실태조사_통계표(최종).pdf",,,
2020,충청남도,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2020_인터넷이용실태조사_2020년_인터넷이용실태조사_통계표(국문,_영문)_2020년도_인터넷이용실태조사_통계표(최종).pdf",,,
2020,세종특별자치시,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2020_인터넷이용실태조사_2020년_인터넷이용실태조사_통계표(국문,_영문)_2020년도_인터넷이용실태조사_통계표(최종).pdf",,,
2020,전라북도,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2020_인터넷이용실태조사_2020년_인터넷이용실태조사_통계표(국문,_영문)_2020년도_인터넷이용실태조사_통계표(최종).pdf",,,
2020,전라남도,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2020_인터넷이용실태조사_2020년_인터넷이용실태조사_통계표(국문,_영문)_2020년도_인터넷이용실태조사_통계표(최종).pdf",,,
2020,경상북도,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2020_인터넷이용실태조사_2020년_인터넷이용실태조사_통계표(국문,_영문)_2020년도_인터넷이용실태조사_통계표(최종).pdf",,,
2020,경상남도,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2020_인터넷이용실태조사_2020년_인터넷이용실태조사_통계표(국문,_영문)_2020년도_인터넷이용실태조사_통계표(최종).pdf",,,
2020,제주특별자치도,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2020_인터넷이용실태조사_2020년_인터넷이용실태조사_통계표(국문,_영문)_2020년도_인터넷이용실태조사_통계표(최종).pdf",,,
2021,서울특별시,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2021_인터넷이용실태조사_2021년_인터넷이용실태조사_통계표(국문,_영문)_2021년_인터넷이용실태조사_통계표_영문(최종).pdf",,,
2021,부산광역시,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2021_인터넷이용실태조사_2021년_인터넷이용실태조사_통계표(국문,_영문)_2021년_인터넷이용실태조사_통계표_영문(최종).pdf",,,
2021,대구광역시,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2021_인터넷이용실태조사_2021년_인터넷이용실태조사_통계표(국문,_영문)_2021년_인터넷이용실태조사_통계표_영문(최종).pdf",,,
2021,인천광역시,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2021_인터넷이용실태조사_2021년_인터넷이용실태조사_통계표(국문,_영문)_2021년_인터넷이용실태조사_통계표_영문(최종).pdf",,,
2021,광주광역시,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2021_인터넷이용실태조사_2021년_인터넷이용실태조사_통계표(국문,_영문)_2021년_인터넷이용실태조사_통계표_영문(최종).pdf",,,
2021,대전광역시,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2021_인터넷이용실태조사_2021년_인터넷이용실태조사_통계표(국문,_영문)_2021년_인터넷이용실태조사_통계표_영문(최종).pdf",,,
2021,울산광역시,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2021_인터넷이용실태조사_2021년_인터넷이용실태조사_통계표(국문,_영문)_2021년_인터넷이용실태조사_통계표_영문(최종).pdf",,,
2021,경기도,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2021_인터넷이용실태조사_2021년_인터넷이용실태조사_통계표(국문,_영문)_2021년_인터넷이용실태조사_통계표_영문(최종).pdf",,,
2021,강원도,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2021_인터넷이용실태조사_2021년_인터넷이용실태조사_통계표(국문,_영문)_2021년_인터넷이용실태조사_통계표_영문(최종).pdf",,,
2021,충청북도,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2021_인터넷이용실태조사_2021년_인터넷이용실태조사_통계표(국문,_영문)_2021년_인터넷이용실태조사_통계표_영문(최종).pdf",,,
2021,충청남도,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2021_인터넷이용실태조사_2021년_인터넷이용실태조사_통계표(국문,_영문)_2021년_인터넷이용실태조사_통계표_영문(최종).pdf",,,
2021,세종특별자치시,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2021_인터넷이용실태조사_2021년_인터넷이용실태조사_통계표(국문,_영문)_2021년_인터넷이용실태조사_통계표_영문(최종).pdf",,,
2021,전라북도,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2021_인터넷이용실태조사_2021년_인터넷이용실태조사_통계표(국문,_영문)_2021년_인터넷이용실태조사_통계표_영문(최종).pdf",,,
2021,전라남도,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2021_인터넷이용실태조사_2021년_인터넷이용실태조사_통계표(국문,_영문)_2021년_인터넷이용실태조사_통계표_영문(최종).pdf",,,
2021,경상북도,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2021_인터넷이용실태조사_2021년_인터넷이용실태조사_통계표(국문,_영문)_2021년_인터넷이용실태조사_통계표_영문(최종).pdf",,,
2021,경상남도,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2021_인터넷이용실태조사_2021년_인터넷이용실태조사_통계표(국문,_영문)_2021년_인터넷이용실태조사_통계표_영문(최종).pdf",,,
2021,제주특별자치도,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2021_인터넷이용실태조사_2021년_인터넷이용실태조사_통계표(국문,_영문)_2021년_인터넷이용실태조사_통계표_영문(최종).pdf",,,
2022,서울특별시,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(영문).pdf",,,
2022,부산광역시,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(영문).pdf",,,
2022,대구광역시,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(영문).pdf",,,
2022,인천광역시,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(영문).pdf",,,
2022,광주광역시,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(영문).pdf",,,
2022,대전광역시,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(영문).pdf",,,
2022,울산광역시,,,,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(영문).pdf",,,
