year,sido,internet_use_rate,mobile_internet_use_rate,smartphone_use_rate,source_file,internet_pages,mobile_pages,smartphone_pages,code,sigungu,region,subjective_health_crude,subjective_health_std,stress_crude,stress_std,depression_crude,depression_std,suicide_ideation_crude,suicide_ideation_std,suicide_attempt_crude,suicide_attempt_std,eq5d_crude,eq5d_std,happiness_crude,happiness_std,stress_counseling_crude,stress_counseling_std,depression_counseling_crude,depression_counseling_std,suicide_mortality_std_total,is_national
2022,전라남도,85.7,96.0,96.7,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(국문).pdf",33,45,49,36000,전라남도,전라남도,44.6,53.5,19.6,21.5,6.4,5.8,,,,,0.939,0.964,,,,,22.9,26.8,,False
2022,경상북도,93.9,93.5,93.6,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(국문).pdf",33,45,49,37000,경상북도,경상북도,39.6,46.1,20.4,23.4,7.3,6.8,,,,,0.94,0.961,,,,,20.3,23.7,,False
2022,경상남도,94.0,91.8,92.0,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(국문).pdf",33,45,49,38000,경상남도,경상남도,40.5,46.3,20.7,23.1,7.2,6.9,,,,,0.944,0.958,,,,,22.1,23.4,,False
2022,제주특별자치도,96.0,98.8,99.0,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2022_인터넷이용실태조사_2022년_인터넷이용실태조사_통계표(국문,_영문)_2022년_인터넷이용실태조사_통계표(국문).pdf",33,45,49,39000,제주특별자치도,제주특별자치도,44.4,49.5,23.0,25.0,6.1,5.7,,,,,0.954,0.965,,,,,21.6,24.6,,False
2023,서울특별시,93.2,92.5,90.7,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2023_인터넷이용실태조사_2023년_인터넷이용실태조사_통계표(국문,영문)_2023인터넷이용실태조사_통계표(국문).pdf",35,47,51,11000,서울특별시,서울특별시,49.6,53.7,25.4,27.1,8.4,8.3,,,,,,,,,,,32.9,33.5,,False
2023,부산광역시,94.8,94.5,94.1,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2023_인터넷이용실태조사_2023년_인터넷이용실태조사_통계표(국문,영문)_2023인터넷이용실태조사_통계표(국문).pdf",35,47,51,21000,부산광역시,부산광역시,40.3,47.0,22.0,23.9,8.2,7.7,,,,,,,,,,,27.6,30.3,,False
2023,대구광역시,98.4,98.4,97.7,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2023_인터넷이용실태조사_2023년_인터넷이용실태조사_통계표(국문,영문)_2023인터넷이용실태조사_통계표(국문).pdf",35,47,51,22000,대구광역시,대구광역시,42.1,48.3,21.8,23.8,6.8,6.7,,,,,,,,,,,30.3,31.1,,False
2023,인천광역시,93.6,93.1,91.7,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2023_인터넷이용실태조사_2023년_인터넷이용실태조사_통계표(국문,영문)_2023인터넷이용실태조사_통계표(국문).pdf",35,47,51,23000,인천광역시,인천광역시,43.1,47.4,25.4,27.0,6.9,6.5,,,,,,,,,,,24.8,25.5,,False
2023,광주광역시,96.7,96.4,95.7,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2023_인터넷이용실태조사_2023년_인터넷이용실태조사_통계표(국문,영문)_2023인터넷이용실태조사_통계표(국문).pdf",35,47,51,24000,광주광역시,광주광역시,46.6,50.8,23.8,24.7,7.5,7.0,,,,,,,,,,,25.3,25.4,,False
2023,대전광역시,96.8,96.4,94.9,"C:\Users\user\Documents\코덱스 저장소\논문\AI격차_정신건강_자료\02_NIA_인터넷이용실태조사\2023_인터넷이용실태조사_2023년_인터넷이용실태조사_통계표(국문,영문)_2023인터넷이용실태조사_통계표(국문).pdf",35,47,51,25000,대전광역시,대전광역시,54.0,59.6,26.9,28.3,8.3,7.9,,,,,,,,,,,28.9,28.0,,False
