year,region_code,sido_nia,internet_use_rate,mobile_internet_use_rate,smartphone_use_rate,source_family,sido_chs,subjective_health_std,stress_std,depression_std,depression_counseling_std,stress_counseling_std,suicide_ideation_std,happiness_std,eq5d_std,aged_pop_rate,elderly_living_alone_household_rate,unemployment_rate,psychiatry_specialists_count,psychiatry_clinic_count,log1p_psychiatry_specialists_count,log1p_psychiatry_clinic_count
2022,jeonnam,전라남도,85.7,96.0,96.7,NIA Internet Usage Survey,전라남도,53.5,21.5,5.8,26.8,,,,0.964,25.2,14.953386563350303,2.2,123,24,4.820281565605037,3.2188758248682006
2022,gyeongbuk,경상북도,93.9,93.5,93.6,NIA Internet Usage Survey,경상북도,46.1,23.4,6.8,23.7,,,,0.961,23.8,13.089189286516577,2.5,175,30,5.170483995038151,3.4339872044851463
2022,gyeongnam,경상남도,94.0,91.8,92.0,NIA Internet Usage Survey,경상남도,46.3,23.1,6.9,23.4,,,,0.958,19.5,11.217873227785564,3.3,243,57,5.497168225293202,4.060443010546419
2022,jeju,제주특별자치도,96.0,98.8,99.0,NIA Internet Usage Survey,제주특별자치도,49.5,25.0,5.7,24.6,,,,0.965,17.1,8.023893565028509,2.1,36,19,3.6109179126442243,2.995732273553991
2023,seoul,서울특별시,93.2,92.5,90.7,NIA Internet Usage Survey,서울특별시,53.7,27.1,8.3,33.5,,,,,18.5,8.072803676014853,2.7,1161,560,7.057897937411856,6.329720905522696
2023,busan,부산광역시,94.8,94.5,94.1,NIA Internet Usage Survey,부산광역시,47.0,23.9,7.7,30.3,,,,,22.6,11.935142409347897,3.1,314,139,5.752572638825633,4.941642422609304
2023,daegu,대구광역시,98.4,98.4,97.7,NIA Internet Usage Survey,대구광역시,48.3,23.8,6.7,31.1,,,,,19.6,10.551102456549218,3.1,208,78,5.342334251964811,4.3694478524670215
2023,incheon,인천광역시,93.6,93.1,91.7,NIA Internet Usage Survey,인천광역시,47.4,27.0,6.5,25.5,,,,,16.6,8.252506907278242,3.2,185,60,5.225746673713202,4.110873864173311
2023,gwangju,광주광역시,96.7,96.4,95.7,NIA Internet Usage Survey,광주광역시,50.8,24.7,7.0,25.4,,,,,16.5,8.930659876800902,2.5,116,46,4.762173934797756,3.8501476017100584
2023,daejeon,대전광역시,96.8,96.4,94.9,NIA Internet Usage Survey,대전광역시,59.6,28.3,7.9,28.0,,,,,17.0,8.26347835781121,2.8,139,67,4.941642422609304,4.219507705176107
2023,ulsan,울산광역시,97.2,96.5,96.2,NIA Internet Usage Survey,울산광역시,45.1,25.8,8.6,20.8,,,,,15.9,8.073490217820744,3.4,63,20,4.1588830833596715,3.044522437723423
2023,sejong,세종특별자치시,95.6,95.4,93.7,NIA Internet Usage Survey,세종특별자치시,49.8,25.8,8.8,28.4,,,,,11.0,4.91613612538672,2.0,22,13,3.1354942159291497,2.6390573296152584
2023,gyeonggi,경기도,93.2,92.5,91.0,NIA Internet Usage Survey,경기도,47.4,27.7,7.7,28.7,,,,,15.6,7.38691322074231,2.6,875,333,6.775366090936392,5.811140992976701
2023,gangwon,강원특별자치도,90.9,90.4,88.3,NIA Internet Usage Survey,강원도,46.9,27.2,8.6,28.1,,,,,24.0,13.115648401368825,2.8,87,22,4.477336814478207,3.1354942159291497
2023,chungbuk,충청북도,95.4,94.9,92.9,NIA Internet Usage Survey,충청북도,48.6,26.3,7.5,29.7,,,,,20.8,10.987447082949776,2.3,114,35,4.74493212836325,3.58351893845611
2023,chungnam,충청남도,95.2,94.7,93.3,NIA Internet Usage Survey,충청남도,46.2,27.7,8.3,25.0,,,,,21.3,11.12909023635112,2.6,124,33,4.8283137373023015,3.5263605246161616
2023,jeonbuk,전북특별자치도,93.6,93.5,93.0,NIA Internet Usage Survey,전라북도,45.6,26.5,9.4,29.3,,,,,24.1,13.482253503225191,2.5,131,51,4.882801922586371,3.9512437185814275
2023,jeonnam,전라남도,90.6,90.4,89.5,NIA Internet Usage Survey,전라남도,47.2,25.6,5.8,23.0,,,,,26.1,15.544047329400982,2.2,118,26,4.77912349311153,3.295836866004329
2023,gyeongbuk,경상북도,94.9,94.7,94.0,NIA Internet Usage Survey,경상북도,45.9,23.9,7.5,28.2,,,,,24.7,13.622048459018304,2.6,173,30,5.159055299214529,3.4339872044851463
2023,gyeongnam,경상남도,94.7,94.6,93.5,NIA Internet Usage Survey,경상남도,45.4,24.5,7.6,24.6,,,,,20.6,11.987744895605196,2.5,242,57,5.493061443340548,4.060443010546419
2023,jeju,제주특별자치도,89.9,89.6,87.3,NIA Internet Usage Survey,제주특별자치도,51.9,23.5,5.1,35.9,,,,,17.9,8.481396978244076,1.9,41,22,3.7376696182833684,3.1354942159291497
