dataset,variable,label,value,raw_n,raw_pct
HINTS6_2022,Internet_Cell,"B2c. When you use the Internet, do you access it through a cellular network (i.e",-9.0,71,0.011356365962891874
HINTS6_2022,Internet_Cell,"B2c. When you use the Internet, do you access it through a cellular network (i.e",-6.0,2,0.0003198976327575176
HINTS6_2022,Electronic2_HealthInfo,B3a. In the past 12 months have you used the Internet to look for health or medi,1.0,4371,0.6991362763915547
HINTS6_2022,Electronic2_HealthInfo,B3a. In the past 12 months have you used the Internet to look for health or medi,-1.0,902,0.14427383237364044
HINTS6_2022,Electronic2_HealthInfo,B3a. In the past 12 months have you used the Internet to look for health or medi,2.0,751,0.12012156110044786
HINTS6_2022,Electronic2_HealthInfo,B3a. In the past 12 months have you used the Internet to look for health or medi,-2.0,182,0.0291106845809341
HINTS6_2022,Electronic2_HealthInfo,B3a. In the past 12 months have you used the Internet to look for health or medi,-9.0,44,0.007037747920665387
HINTS6_2022,Electronic2_HealthInfo,B3a. In the past 12 months have you used the Internet to look for health or medi,-6.0,2,0.0003198976327575176
HINTS6_2022,Electronic2_MessageDoc,B3b. In the past 12 months have you used the Internet to send a message to a hea,1.0,3337,0.5337492002559181
HINTS6_2022,Electronic2_MessageDoc,B3b. In the past 12 months have you used the Internet to send a message to a hea,2.0,1773,0.28358925143953934
HINTS6_2022,Electronic2_MessageDoc,B3b. In the past 12 months have you used the Internet to send a message to a hea,-1.0,921,0.14731285988483686
HINTS6_2022,Electronic2_MessageDoc,B3b. In the past 12 months have you used the Internet to send a message to a hea,-2.0,163,0.026071657069737682
HINTS6_2022,Electronic2_MessageDoc,B3b. In the past 12 months have you used the Internet to send a message to a hea,-9.0,56,0.008957133717210493
HINTS6_2022,Electronic2_MessageDoc,B3b. In the past 12 months have you used the Internet to send a message to a hea,-6.0,2,0.0003198976327575176
HINTS6_2022,Electronic2_TestResults,B3c. In the past 12 months have you used the Internet to view medical test resul,1.0,3721,0.5951695457453615
HINTS6_2022,Electronic2_TestResults,B3c. In the past 12 months have you used the Internet to view medical test resul,2.0,1384,0.22136916186820219
HINTS6_2022,Electronic2_TestResults,B3c. In the past 12 months have you used the Internet to view medical test resul,-1.0,927,0.1482725527831094
HINTS6_2022,Electronic2_TestResults,B3c. In the past 12 months have you used the Internet to view medical test resul,-2.0,157,0.02511196417146513
HINTS6_2022,Electronic2_TestResults,B3c. In the past 12 months have you used the Internet to view medical test resul,-9.0,61,0.009756877799104287
HINTS6_2022,Electronic2_TestResults,B3c. In the past 12 months have you used the Internet to view medical test resul,-6.0,2,0.0003198976327575176
HINTS6_2022,Caregiving_MentalHealth2,F3. (For the individual to whom you provide the most care) For which conditions ,-1.0,5080,0.8125399872040947
HINTS6_2022,Caregiving_MentalHealth2,F3. (For the individual to whom you provide the most care) For which conditions ,2.0,692,0.11068458093410109
HINTS6_2022,Caregiving_MentalHealth2,F3. (For the individual to whom you provide the most care) For which conditions ,1.0,224,0.03582853486884197
HINTS6_2022,Caregiving_MentalHealth2,F3. (For the individual to whom you provide the most care) For which conditions ,-7.0,150,0.02399232245681382
HINTS6_2022,Caregiving_MentalHealth2,F3. (For the individual to whom you provide the most care) For which conditions ,-6.0,66,0.01055662188099808
HINTS6_2022,Caregiving_MentalHealth2,F3. (For the individual to whom you provide the most care) For which conditions ,-9.0,31,0.004958413307741522
HINTS6_2022,Caregiving_MentalHealth2,F3. (For the individual to whom you provide the most care) For which conditions ,-2.0,9,0.0014395393474088292
HINTS6_2022,TestSource_HCPCounselor,G2. From which of the following sources did you read or hear anything about gene,2.0,3191,0.5103966730646193
HINTS6_2022,TestSource_HCPCounselor,G2. From which of the following sources did you read or hear anything about gene,1.0,1514,0.24216250799744082
HINTS6_2022,TestSource_HCPCounselor,G2. From which of the following sources did you read or hear anything about gene,-1.0,1237,0.19785668586052463
